Run,age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,sub_species,Tissue
SRR5124988,not collected,WGS,202,12167045598,PRJNA357372,SAMN06141185,Plant,8481366835,UNIVERSITY OF OULU,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",not collected,SRX2439800,United Kingdom,Europe,United Kingdom: Storr,Illumina HiSeq 2000,STORR1d-4,Alyr_STORR_STORR1d-4,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-06-29T00:00:00Z,Alyr_STORR_STORR1d-4,SRP095509,petraea,leaf
SRR5124989,not collected,WGS,202,10787081992,PRJNA357372,SAMN06141191,Plant,7757209096,UNIVERSITY OF OULU,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",not collected,SRX2439801,Germany,Europe,Germany: Plech,Illumina HiSeq 2000,PL-S7-1-2,Alyr_PL_PL-S7-1-2,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-06-29T00:00:00Z,Alyr_PL_PL-S7-1-2,SRP095509,petraea,leaf
SRR5124990,not collected,WGS,202,9635108918,PRJNA357372,SAMN06141189,Plant,6933379533,UNIVERSITY OF OULU,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",not collected,SRX2439802,Germany,Europe,Germany: Plech,Illumina HiSeq 2000,PL-S5-1-2,Alyr_PL_PL-S5-1-2,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-06-29T00:00:00Z,Alyr_PL_PL-S5-1-2,SRP095509,petraea,leaf
SRR5124991,not collected,WGS,202,2405099870,PRJNA357372,SAMN06141193,Plant,1572843295,UNIVERSITY OF OULU,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",not collected,SRX2439803,USA,North America,USA: Mayodan,Illumina HiSeq 2000,MA605-3g,Alyr_MA_MA605-3g,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2017-03-24T00:00:00Z,Alyr_MA_MA605-3g,SRP095509,lyrata,leaf
SRR5124992,not collected,WGS,202,3235405720,PRJNA357372,SAMN06141198,Plant,2133502885,UNIVERSITY OF OULU,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",not collected,SRX2439804,USA,North America,USA: Mayodan,Illumina HiSeq 2000,Ncm8-4,Alyr_MA_Ncm8-4,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2017-03-24T00:00:00Z,Alyr_MA_Ncm8-4,SRP095509,lyrata,leaf
SRR5124993,not collected,WGS,202,4519643950,PRJNA357372,SAMN06159140,Plant,2984132187,UNIVERSITY OF OULU,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",not collected,SRX2439805,Russia,Europe,Russia: Karhumaki,Illumina HiSeq 2000,C180_P4,Alyr_KAR_C180_P4,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-03-24T00:00:00Z,Alyr_KAR_C180_P4,SRP095509,petraea,leaf
SRR5124994,not collected,WGS,202,12927994142,PRJNA357372,SAMN06141195,Plant,8503192116,UNIVERSITY OF OULU,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",not collected,SRX2439806,USA,North America,USA: Mayodan,Illumina HiSeq 2000,MA622-1g,Alyr_MA_MA622-1g,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2017-03-24T00:00:00Z,Alyr_MA_MA622-1g,SRP095509,lyrata,leaf
SRR5124995,not collected,WGS,202,7493172224,PRJNA357372,SAMN06141179,Plant,5226026187,UNIVERSITY OF OULU,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",not collected,SRX2439807,Sweden,Europe,Sweden: Stubbsand,Illumina HiSeq 2000,C101_P2,Alyr_STU_C101_P2,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-06-29T00:00:00Z,Alyr_STU_C101_P2,SRP095509,petraea,leaf
SRR5124996,not collected,WGS,202,8765864336,PRJNA357372,SAMN06141183,Plant,5957633538,UNIVERSITY OF OULU,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",not collected,SRX2439808,Sweden,Europe,Sweden: Stubbsand,Illumina HiSeq 2000,STU_198,Alyr_STU_STU_198,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-06-29T00:00:00Z,Alyr_STU_STU_198,SRP095509,petraea,leaf
SRR5124997,not collected,WGS,202,9323533210,PRJNA357372,SAMN06141174,Plant,5930807219,UNIVERSITY OF OULU,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",not collected,SRX2439809,Norway,Europe,Norway: Spiterstulen,Illumina HiSeq 2000,Sp164-1g,Alyr_SP_Sp164-1g,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-06-29T00:00:00Z,Alyr_SP_Sp164-1g,SRP095509,petraea,leaf
SRR5124998,not collected,WGS,202,9549624740,PRJNA357372,SAMN06141177,Plant,6076207644,UNIVERSITY OF OULU,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",not collected,SRX2439810,Norway,Europe,Norway: Spiterstulen,Illumina HiSeq 2000,Sp76-3g,Alyr_SP_Sp76-3g,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-06-29T00:00:00Z,Alyr_SP_Sp76-3g,SRP095509,petraea,leaf
SRR5124999,not collected,WGS,202,4591776534,PRJNA357372,SAMN06141173,Plant,2941137435,UNIVERSITY OF OULU,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",not collected,SRX2439811,Norway,Europe,Norway: Spiterstulen,Illumina HiSeq 2000,Sp154-4g,Alyr_SP_Sp154-4g,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-06-29T00:00:00Z,Alyr_SP_Sp154-4g,SRP095509,petraea,leaf
SRR5125000,not collected,WGS,202,9760525062,PRJNA357372,SAMN06141196,Plant,6380849667,UNIVERSITY OF OULU,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",not collected,SRX2439812,USA,North America,USA: Mayodan,Illumina HiSeq 2000,MA625-1g,Alyr_MA_MA625-1g,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2017-03-24T00:00:00Z,Alyr_MA_MA625-1g,SRP095509,lyrata,leaf
SRR5125001,not collected,WGS,202,11727850128,PRJNA357372,SAMN06159141,Plant,8236276323,UNIVERSITY OF OULU,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",not collected,SRX2439813,Russia,Europe,Russia: Karhumaki,Illumina HiSeq 2000,KAR_1456,Alyr_KAR_KAR_1456,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-03-24T00:00:00Z,Alyr_KAR_KAR_1456,SRP095509,petraea,leaf
SRR5125002,not collected,WGS,202,11227337760,PRJNA357372,SAMN06141184,Plant,7701708808,UNIVERSITY OF OULU,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",not collected,SRX2439814,Sweden,Europe,Sweden: Stubbsand,Illumina HiSeq 2000,STU_56,Alyr_STU_STU_56,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-06-29T00:00:00Z,Alyr_STU_STU_56,SRP095509,petraea,leaf
SRR5125003,not collected,WGS,202,11203788196,PRJNA357372,SAMN06141192,Plant,8035014877,UNIVERSITY OF OULU,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",not collected,SRX2439815,Germany,Europe,Germany: Plech,Illumina HiSeq 2000,PL-S8-1-3,Alyr_PL_PL-S8-1-3,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-06-29T00:00:00Z,Alyr_PL_PL-S8-1-3,SRP095509,petraea,leaf
