Run,Alias,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,description,ena_checklist,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,Sample_name,specimen_voucher,SRA_accession,SRA Study,title,lat_lon,sub_species
ERR2182759,Aare-QC-12,WGS,302,1542735894,PRJEB23202,SAMEA104359524,772706025,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",28-Jul-1970,public,"fastq,sra","s3,ena,ncbi,gs","s3.us-east-1,gs.US,ena,ncbi.public",WGS of Arabidopsis arenicola,ERC000011,2017-12-25,2018-11-16,ERX2238926,Canada,North America,Canada,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2017-12-25T17:02:39Z,2017-10-26T13:42:48Z,public,Illumina HiSeq 2500,Aare-QC-12,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis arenicola,ILLUMINA,2017-12-26T00:00:00Z,SAMEA104359524,ERS1984502,DAO 645734,ERS1984502,ERP104939,Arabidopsis arenicola,,
ERR2182760,Aare-QC-13,WGS,302,3054983076,PRJEB23202,SAMEA104359525,1540041730,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",08/01/1981,public,"fastq,sra","gs,s3,ncbi,ena","gs.US,ncbi.public,ena,s3.us-east-1",WGS of Arabidopsis arenicola,ERC000011,2017-12-25,2018-11-16,ERX2238927,Canada,North America,Canada,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2017-12-25T17:02:39Z,2017-10-26T13:42:48Z,public,Illumina HiSeq 2500,Aare-QC-13,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis arenicola,ILLUMINA,2017-12-26T00:00:00Z,SAMEA104359525,ERS1984503,DAO 671282,ERS1984503,ERP104939,Arabidopsis arenicola,61.49 N 73.48 W,
ERR2182761,Aare-QC-14,WGS,302,1995229138,PRJEB23202,SAMEA104359526,1054392766,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",22-Jul-2003,public,"sra,fastq","gs,s3,ena,ncbi","s3.us-east-1,ncbi.public,gs.US,ena",WGS of Arabidopsis arenicola,ERC000011,2017-12-25,2018-11-16,ERX2238928,Canada,North America,Canada,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2017-12-25T17:02:39Z,2017-10-26T13:42:48Z,public,Illumina HiSeq 2500,Aare-QC-14,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis arenicola,ILLUMINA,2017-12-26T00:00:00Z,SAMEA104359526,ERS1984504,DAO 795388,ERS1984504,ERP104939,Arabidopsis arenicola,58.36 N 65.09 W,
ERR2182762,Aare-QC-16,WGS,302,3087214328,PRJEB23202,SAMEA104359527,1651151639,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",08/03/1994,public,"sra,fastq","gs,ncbi,s3,ena","ena,gs.US,ncbi.public,s3.us-east-1",WGS of Arabidopsis arenicola,ERC000011,2017-12-25,2018-11-16,ERX2238929,Canada,North America,Canada,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2017-12-25T17:02:39Z,2017-10-26T13:42:48Z,public,Illumina HiSeq 2500,Aare-QC-16,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis arenicola,ILLUMINA,2017-12-26T00:00:00Z,SAMEA104359527,ERS1984505,DAO 691290,ERS1984505,ERP104939,Arabidopsis arenicola,61.49 N 72.27 W,
ERR2182763,Aare-SK-17,WGS,302,2795949824,PRJEB23202,SAMEA104359528,1493770925,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",Jul-1979,public,"fastq,sra","ncbi,s3,gs,ena","ncbi.public,s3.us-east-1,gs.US,ena",WGS of Arabidopsis arenicola,ERC000011,2017-12-25,2018-11-16,ERX2238930,Canada,North America,Canada,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2017-12-25T17:02:39Z,2017-10-26T13:42:48Z,public,Illumina HiSeq 2500,Aare-SK-17,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis arenicola,ILLUMINA,2017-12-26T00:00:00Z,SAMEA104359528,ERS1984506,DAO 688319,ERS1984506,ERP104939,Arabidopsis arenicola,59.06 N 108.51 W,
ERR2182764,Aare-SK-18,WGS,302,4019026872,PRJEB23202,SAMEA104359529,2085429302,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",20-Aug-1984,public,"sra,fastq","ncbi,gs,s3,ena","gs.US,ncbi.public,ena,s3.us-east-1",WGS of Arabidopsis arenicola,ERC000011,2017-12-25,2018-11-16,ERX2238931,Canada,North America,Canada,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2017-12-25T17:02:39Z,2017-10-26T13:42:48Z,public,Illumina HiSeq 2500,Aare-SK-18,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis arenicola,ILLUMINA,2017-12-26T00:00:00Z,SAMEA104359529,ERS1984507,DAO 727339,ERS1984507,ERP104939,Arabidopsis arenicola,59.11 N 108.01 W,
ERR2182765,Aare-SK-19,WGS,302,3022186782,PRJEB23202,SAMEA104359530,1574548642,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",23-Aug-1984,public,"sra,fastq","s3,ncbi,gs,ena","ena,ncbi.public,s3.us-east-1,gs.US",WGS of Arabidopsis arenicola,ERC000011,2017-12-25,2018-11-16,ERX2238932,Canada,North America,Canada,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2017-12-25T17:02:39Z,2017-10-26T13:42:48Z,public,Illumina HiSeq 2500,Aare-SK-19,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis arenicola,ILLUMINA,2017-12-26T00:00:00Z,SAMEA104359530,ERS1984508,DAO 729202,ERS1984508,ERP104939,Arabidopsis arenicola,59.04 N 109.30 W,
ERR2182766,Alyr-AB-01,WGS,302,2983208850,PRJEB23202,SAMEA104359531,1525778512,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",06/11/1969,public,"sra,fastq","gs,ncbi,ena,s3","s3.us-east-1,ncbi.public,gs.US,ena",WGS of Arabidopsis lyrata subsp. lyrata,ERC000011,2017-12-25,2018-11-16,ERX2238933,Canada,North America,Canada,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2017-12-25T17:02:39Z,2017-10-26T13:42:48Z,public,Illumina HiSeq 2500,Alyr-AB-01,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2017-12-26T00:00:00Z,SAMEA104359531,ERS1984509,DAO 627787,ERS1984509,ERP104939,Arabidopsis lyrata subsp. lyrata,57.3 N 111.35 W,lyrata
ERR2182767,Alyr-AB-02,WGS,302,2861545432,PRJEB23202,SAMEA104359532,1440858418,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",Jun-1964,public,"fastq,sra","ena,ncbi,s3,gs","ncbi.public,ena,gs.US,s3.us-east-1",WGS of Arabidopsis lyrata subsp. lyrata,ERC000011,2017-12-25,2018-11-16,ERX2238934,Canada,North America,Canada,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2017-12-25T17:02:39Z,2017-10-26T13:42:48Z,public,Illumina HiSeq 2500,Alyr-AB-02,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2017-12-26T00:00:00Z,SAMEA104359532,ERS1984510,DAO 640028,ERS1984510,ERP104939,Arabidopsis lyrata subsp. lyrata,53.53 N 113.17 W,lyrata
ERR2182768,Alyr-SK-07,WGS,302,2909720472,PRJEB23202,SAMEA104359533,1542927198,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",21-Jun-1963,public,"sra,fastq","ncbi,gs,ena,s3","ena,s3.us-east-1,ncbi.public,gs.US",WGS of Arabidopsis lyrata subsp. lyrata,ERC000011,2017-12-25,2018-11-16,ERX2238935,Canada,North America,Canada,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2017-12-25T17:02:39Z,2017-10-26T13:42:48Z,public,Illumina HiSeq 2500,Alyr-SK-07,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2017-12-26T00:00:00Z,SAMEA104359533,ERS1984511,DAO 564544,ERS1984511,ERP104939,Arabidopsis lyrata subsp. lyrata,,lyrata
ERR2182769,Alyr-SK-08,WGS,302,2788673738,PRJEB23202,SAMEA104359534,1450445039,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",06/12/1972,public,"fastq,sra","s3,ncbi,ena,gs","s3.us-east-1,ena,gs.US,ncbi.public",WGS of Arabidopsis lyrata subsp. lyrata,ERC000011,2017-12-25,2018-11-16,ERX2238936,Canada,North America,Canada,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2017-12-25T17:02:39Z,2017-10-26T13:42:48Z,public,Illumina HiSeq 2500,Alyr-SK-08,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2017-12-26T00:00:00Z,SAMEA104359534,ERS1984512,DAO 330484,ERS1984512,ERP104939,Arabidopsis lyrata subsp. lyrata,54.59 N 107.44 W,lyrata
ERR2182770,Alyr-SK-09,WGS,302,3162365518,PRJEB23202,SAMEA104359535,1702695342,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",14-Jun-1977,public,"fastq,sra","gs,ena,s3,ncbi","gs.US,s3.us-east-1,ena,ncbi.public",WGS of Arabidopsis lyrata subsp. lyrata,ERC000011,2017-12-25,2018-11-16,ERX2238937,Canada,North America,Canada,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2017-12-25T17:02:39Z,2017-10-26T13:42:48Z,public,Illumina HiSeq 2500,Alyr-SK-09,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2017-12-26T00:00:00Z,SAMEA104359535,ERS1984513,DAO 333971,ERS1984513,ERP104939,Arabidopsis lyrata subsp. lyrata,58.21 N 109.30 W,lyrata
ERR2182771,Alyr-SK-10,WGS,302,2969906354,PRJEB23202,SAMEA104359536,1587408960,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",07/09/1979,public,"sra,fastq","ena,s3,gs,ncbi","gs.US,ena,ncbi.public,s3.us-east-1",WGS of Arabidopsis lyrata subsp. lyrata,ERC000011,2017-12-25,2018-11-16,ERX2238938,Canada,North America,Canada,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2017-12-25T17:02:39Z,2017-10-26T13:42:48Z,public,Illumina HiSeq 2500,Alyr-SK-10,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2017-12-26T00:00:00Z,SAMEA104359536,ERS1984514,DAO 367229,ERS1984514,ERP104939,Arabidopsis lyrata subsp. lyrata,59.08 N 108.56 W,lyrata
ERR2182772,Alyr-WI-16,WGS,302,3031556936,PRJEB23202,SAMEA104359537,1655391408,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",21-May-1960,public,"sra,fastq","ena,s3,ncbi,gs","gs.US,s3.us-east-1,ena,ncbi.public",WGS of Arabidopsis lyrata subsp. lyrata,ERC000011,2017-12-25,2018-11-16,ERX2238939,USA,North America,USA,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2017-12-25T17:02:39Z,2017-10-26T13:42:48Z,public,Illumina HiSeq 2500,Alyr-WI-16,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2017-12-26T00:00:00Z,SAMEA104359537,ERS1984515,DAO 564720,ERS1984515,ERP104939,Arabidopsis lyrata subsp. lyrata,,lyrata
