study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	library_layout	library_source	experiment_title	study_alias	run_alias	fastq_ftp	submitted_ftp	sample_alias	sample_title
PRJNA484107	SAMN09759936	SRS3621885	SRX4501097	SRR7637283	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	TRE_006_1	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; TRE_006_1	PRJNA484107	TRE_006_1_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/003/SRR7637283/SRR7637283.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/003/SRR7637283/SRR7637283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/003/SRR7637283/SRR7637283_2.fastq.gz		TRE_006_1	TRE_006_1
PRJNA484107	SAMN09759940	SRS3621883	SRX4501096	SRR7637284	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	TRE_014_1	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; TRE_014_1	PRJNA484107	TRE_014_1_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/004/SRR7637284/SRR7637284.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/004/SRR7637284/SRR7637284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/004/SRR7637284/SRR7637284_2.fastq.gz		TRE_014_1	TRE_014_1
PRJNA484107	SAMN09759817	SRS3621882	SRX4501095	SRR7637285	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	KOW_001_a12	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; KOW_001_a12	PRJNA484107	KOW_001_a12_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/005/SRR7637285/SRR7637285.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/005/SRR7637285/SRR7637285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/005/SRR7637285/SRR7637285_2.fastq.gz		KOW_001_a12	KOW_001_a12
PRJNA484107	SAMN09759816	SRS3621881	SRX4501094	SRR7637286	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	KOW_001_a11	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; KOW_001_a11	PRJNA484107	KOW_001_a11_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/006/SRR7637286/SRR7637286.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/006/SRR7637286/SRR7637286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/006/SRR7637286/SRR7637286_2.fastq.gz		KOW_001_a11	KOW_001_a11
PRJNA484107	SAMN09759945	SRS3621880	SRX4501093	SRR7637287	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	TRT_001_co	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; TRT_001_co	PRJNA484107	TRT_001_co_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/007/SRR7637287/SRR7637287.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/007/SRR7637287/SRR7637287_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/007/SRR7637287/SRR7637287_2.fastq.gz		TRT_001_co	TRT_001_co
PRJNA484107	SAMN09759944	SRS3621879	SRX4501092	SRR7637288	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	TRT_001_bk	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; TRT_001_bk	PRJNA484107	TRT_001_bk_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/008/SRR7637288/SRR7637288.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/008/SRR7637288/SRR7637288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/008/SRR7637288/SRR7637288_2.fastq.gz		TRT_001_bk	TRT_001_bk
PRJNA484107	SAMN09759937	SRS3621878	SRX4501091	SRR7637289	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	TRE_010_1	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; TRE_010_1	PRJNA484107	TRE_010_1_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/009/SRR7637289/SRR7637289.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/009/SRR7637289/SRR7637289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/009/SRR7637289/SRR7637289_2.fastq.gz		TRE_010_1	TRE_010_1
PRJNA484107	SAMN09759942	SRS3621877	SRX4501090	SRR7637290	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	TRE_022_1	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; TRE_022_1	PRJNA484107	TRE_022_1_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/000/SRR7637290/SRR7637290.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/000/SRR7637290/SRR7637290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/000/SRR7637290/SRR7637290_2.fastq.gz		TRE_022_1	TRE_022_1
PRJNA484107	SAMN09759811	SRS3621876	SRX4501089	SRR7637291	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	KOW_001_a05	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; KOW_001_a05	PRJNA484107	KOW_001_a05_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/001/SRR7637291/SRR7637291.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/001/SRR7637291/SRR7637291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/001/SRR7637291/SRR7637291_2.fastq.gz		KOW_001_a05	KOW_001_a05
PRJNA484107	SAMN09759810	SRS3621875	SRX4501088	SRR7637292	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	KOW_001_a04	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; KOW_001_a04	PRJNA484107	KOW_001_a04_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/002/SRR7637292/SRR7637292.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/002/SRR7637292/SRR7637292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/002/SRR7637292/SRR7637292_2.fastq.gz		KOW_001_a04	KOW_001_a04
PRJNA484107	SAMN09759809	SRS3621874	SRX4501087	SRR7637293	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	KOS_012_1	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; KOS_012_1	PRJNA484107	KOS_012_1_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/003/SRR7637293/SRR7637293.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/003/SRR7637293/SRR7637293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/003/SRR7637293/SRR7637293_2.fastq.gz		KOS_012_1	KOS_012_1
PRJNA484107	SAMN09759808	SRS3621873	SRX4501086	SRR7637294	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	KOS_011_1	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; KOS_011_1	PRJNA484107	KOS_011_1_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/004/SRR7637294/SRR7637294.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/004/SRR7637294/SRR7637294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/004/SRR7637294/SRR7637294_2.fastq.gz		KOS_011_1	KOS_011_1
PRJNA484107	SAMN09759815	SRS3621872	SRX4501085	SRR7637295	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	KOW_001_a09	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; KOW_001_a09	PRJNA484107	KOW_001_a09_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/005/SRR7637295/SRR7637295.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/005/SRR7637295/SRR7637295_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/005/SRR7637295/SRR7637295_2.fastq.gz		KOW_001_a09	KOW_001_a09
PRJNA484107	SAMN09759814	SRS3621871	SRX4501084	SRR7637296	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	KOW_001_a08	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; KOW_001_a08	PRJNA484107	KOW_001_a08_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/006/SRR7637296/SRR7637296.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/006/SRR7637296/SRR7637296_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/006/SRR7637296/SRR7637296_2.fastq.gz		KOW_001_a08	KOW_001_a08
PRJNA484107	SAMN09759813	SRS3621869	SRX4501083	SRR7637297	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	KOW_001_a07	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; KOW_001_a07	PRJNA484107	KOW_001_a07_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/007/SRR7637297/SRR7637297.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/007/SRR7637297/SRR7637297_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/007/SRR7637297/SRR7637297_2.fastq.gz		KOW_001_a07	KOW_001_a07
PRJNA484107	SAMN09759812	SRS3621870	SRX4501082	SRR7637298	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	KOW_001_a06	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; KOW_001_a06	PRJNA484107	KOW_001_a06_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/008/SRR7637298/SRR7637298.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/008/SRR7637298/SRR7637298_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/008/SRR7637298/SRR7637298_2.fastq.gz		KOW_001_a06	KOW_001_a06
PRJNA484107	SAMN09759749	SRS3621868	SRX4501081	SRR7637299	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	FOJ_001_c	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; FOJ_001_c	PRJNA484107	FOJ_001_c_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/009/SRR7637299/SRR7637299.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/009/SRR7637299/SRR7637299_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/009/SRR7637299/SRR7637299_2.fastq.gz		FOJ_001_c	FOJ_001_c
PRJNA484107	SAMN09759748	SRS3621867	SRX4501080	SRR7637300	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	FOJ_001_b	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; FOJ_001_b	PRJNA484107	FOJ_001_b_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/000/SRR7637300/SRR7637300.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/000/SRR7637300/SRR7637300_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/000/SRR7637300/SRR7637300_2.fastq.gz		FOJ_001_b	FOJ_001_b
PRJNA484107	SAMN09759751	SRS3621866	SRX4501079	SRR7637301	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	FOJ_001_e	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; FOJ_001_e	PRJNA484107	FOJ_001_e_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/001/SRR7637301/SRR7637301.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/001/SRR7637301/SRR7637301_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/001/SRR7637301/SRR7637301_2.fastq.gz		FOJ_001_e	FOJ_001_e
PRJNA484107	SAMN09759750	SRS3621865	SRX4501078	SRR7637302	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	FOJ_001_d	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; FOJ_001_d	PRJNA484107	FOJ_001_d_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/002/SRR7637302/SRR7637302.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/002/SRR7637302/SRR7637302_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/002/SRR7637302/SRR7637302_2.fastq.gz		FOJ_001_d	FOJ_001_d
PRJNA484107	SAMN09759753	SRS3621864	SRX4501077	SRR7637303	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	FOJ_001_g	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; FOJ_001_g	PRJNA484107	FOJ_001_g_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/003/SRR7637303/SRR7637303.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/003/SRR7637303/SRR7637303_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/003/SRR7637303/SRR7637303_2.fastq.gz		FOJ_001_g	FOJ_001_g
PRJNA484107	SAMN09759752	SRS3621863	SRX4501076	SRR7637304	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	FOJ_001_f	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; FOJ_001_f	PRJNA484107	FOJ_001_f_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/004/SRR7637304/SRR7637304.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/004/SRR7637304/SRR7637304_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/004/SRR7637304/SRR7637304_2.fastq.gz		FOJ_001_f	FOJ_001_f
PRJNA484107	SAMN09759755	SRS3621862	SRX4501075	SRR7637305	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	FOJ_001_n	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; FOJ_001_n	PRJNA484107	FOJ_001_n_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/005/SRR7637305/SRR7637305.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/005/SRR7637305/SRR7637305_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/005/SRR7637305/SRR7637305_2.fastq.gz		FOJ_001_n	FOJ_001_n
PRJNA484107	SAMN09759754	SRS3621861	SRX4501074	SRR7637306	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	FOJ_001_h	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; FOJ_001_h	PRJNA484107	FOJ_001_h_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/006/SRR7637306/SRR7637306.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/006/SRR7637306/SRR7637306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/006/SRR7637306/SRR7637306_2.fastq.gz		FOJ_001_h	FOJ_001_h
PRJNA484107	SAMN09759757	SRS3621860	SRX4501073	SRR7637307	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	GOR_001_b	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; GOR_001_b	PRJNA484107	GOR_001_b_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/007/SRR7637307/SRR7637307.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/007/SRR7637307/SRR7637307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/007/SRR7637307/SRR7637307_2.fastq.gz		GOR_001_b	GOR_001_b
PRJNA484107	SAMN09759756	SRS3621859	SRX4501072	SRR7637308	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	GOR_001_a	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; GOR_001_a	PRJNA484107	GOR_001_a_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/008/SRR7637308/SRR7637308.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/008/SRR7637308/SRR7637308_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/008/SRR7637308/SRR7637308_2.fastq.gz		GOR_001_a	GOR_001_a
PRJNA484107	SAMN09759735	SRS3621858	SRX4501071	SRR7637309	97980	Arabidopsis croatica	ILLUMINA	Illumina HiSeq 2500	CRO_001_bb	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; CRO_001_bb	PRJNA484107	CRO_001_bb_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/009/SRR7637309/SRR7637309.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/009/SRR7637309/SRR7637309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/009/SRR7637309/SRR7637309_2.fastq.gz		CRO_001_bb	CRO_001_bb
PRJNA484107	SAMN09759734	SRS3621857	SRX4501070	SRR7637310	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	CHO_001_h	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; CHO_001_h	PRJNA484107	CHO_001_h_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/000/SRR7637310/SRR7637310.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/000/SRR7637310/SRR7637310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/000/SRR7637310/SRR7637310_2.fastq.gz		CHO_001_h	CHO_001_h
PRJNA484107	SAMN09759733	SRS3621856	SRX4501069	SRR7637311	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	CHO_001_g	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; CHO_001_g	PRJNA484107	CHO_001_g_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/001/SRR7637311/SRR7637311.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/001/SRR7637311/SRR7637311_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/001/SRR7637311/SRR7637311_2.fastq.gz		CHO_001_g	CHO_001_g
PRJNA484107	SAMN09759732	SRS3621855	SRX4501068	SRR7637312	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	CHO_001_f	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; CHO_001_f	PRJNA484107	CHO_001_f_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/002/SRR7637312/SRR7637312.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/002/SRR7637312/SRR7637312_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/002/SRR7637312/SRR7637312_2.fastq.gz		CHO_001_f	CHO_001_f
PRJNA484107	SAMN09759731	SRS3621854	SRX4501067	SRR7637313	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	CHO_001_e	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; CHO_001_e	PRJNA484107	CHO_001_e_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/003/SRR7637313/SRR7637313.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/003/SRR7637313/SRR7637313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/003/SRR7637313/SRR7637313_2.fastq.gz		CHO_001_e	CHO_001_e
PRJNA484107	SAMN09759730	SRS3621853	SRX4501066	SRR7637314	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	CHO_001_d	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; CHO_001_d	PRJNA484107	CHO_001_d_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/004/SRR7637314/SRR7637314.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/004/SRR7637314/SRR7637314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/004/SRR7637314/SRR7637314_2.fastq.gz		CHO_001_d	CHO_001_d
