Run,Alias,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Description,ENA_checklist,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_name,SRA_accession,SRA Study,sub_species,title
ERR2145392,201GM-017 WGS,WGS,202,12001677894,PRJEB20573,SAMEA104326103,7997579828,CENTRE FOR ORGANISMAL STUDIES,public,"fastq,sra","gs,s3,ena,ncbi","ncbi.public,s3.us-east-1,ena,gs.US",Arabidopsis lyrata and A. arenosa genomes sequenced to study adaptive introgression,ERC000011,2017-10-08,2018-11-16,ERX2201925,Centre for Organismal Studies,Centre for Organismal Studies,2017-10-08T17:01:59Z,2017-09-29T14:26:02Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa subsp. borbasii,ILLUMINA,2017-10-09T00:00:00Z,SAMEA104326103,ERS1951081,ERS1951081,ERP022739,borbasii,Arabidopsis arenosa subsp. borbasii
ERR2145393,118GM-012 WGS,WGS,202,8297047384,PRJEB20573,SAMEA104326104,5471497208,CENTRE FOR ORGANISMAL STUDIES,public,"fastq,sra","s3,ena,ncbi,gs","gs.US,ncbi.public,ena,s3.us-east-1",Arabidopsis lyrata and A. arenosa genomes sequenced to study adaptive introgression,ERC000011,2017-10-08,2018-11-16,ERX2201926,Centre for Organismal Studies,Centre for Organismal Studies,2017-10-08T17:01:59Z,2017-09-29T14:26:02Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa subsp. borbasii,ILLUMINA,2017-10-09T00:00:00Z,SAMEA104326104,ERS1951082,ERS1951082,ERP022739,borbasii,Arabidopsis arenosa subsp. borbasii
ERR2145371,55-c WGS,WGS,202,9983200772,PRJEB20573,SAMEA104326082,6342580702,CENTRE FOR ORGANISMAL STUDIES,public,"fastq,sra","ncbi,gs,s3,ena","gs.US,s3.us-east-1,ena,ncbi.public",Arabidopsis lyrata and A. arenosa genomes sequenced to study adaptive introgression,ERC000011,2017-10-08,2018-11-16,ERX2201904,Centre for Organismal Studies,Centre for Organismal Studies,2017-10-08T17:01:59Z,2017-09-29T14:26:01Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-10-09T00:00:00Z,SAMEA104326082,ERS1951060,ERS1951060,ERP022739,petraea,Arabidopsis lyrata subsp. petraea
ERR2145373,137-g WGS,WGS,202,9813937700,PRJEB20573,SAMEA104326084,6122776916,CENTRE FOR ORGANISMAL STUDIES,public,"fastq,sra","ena,gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public,ena",Arabidopsis lyrata and A. arenosa genomes sequenced to study adaptive introgression,ERC000011,2017-10-08,2018-11-16,ERX2201906,Centre for Organismal Studies,Centre for Organismal Studies,2017-10-08T17:01:59Z,2017-09-29T14:26:01Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-10-09T00:00:00Z,SAMEA104326084,ERS1951062,ERS1951062,ERP022739,petraea,Arabidopsis lyrata subsp. petraea
ERR2145374,37-c WGS,WGS,202,7659612750,PRJEB20573,SAMEA104326085,4727313002,CENTRE FOR ORGANISMAL STUDIES,public,"fastq,sra","ena,s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public,ena",Arabidopsis lyrata and A. arenosa genomes sequenced to study adaptive introgression,ERC000011,2017-10-08,2018-11-16,ERX2201907,Centre for Organismal Studies,Centre for Organismal Studies,2017-10-08T17:01:59Z,2017-09-29T14:26:01Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-10-09T00:00:00Z,SAMEA104326085,ERS1951063,ERS1951063,ERP022739,petraea,Arabidopsis lyrata subsp. petraea
ERR2145376,88-m WGS,WGS,202,4116138850,PRJEB20573,SAMEA104326087,2571769071,CENTRE FOR ORGANISMAL STUDIES,public,"fastq,sra","gs,s3,ncbi,ena","ena,s3.us-east-1,gs.US,ncbi.public",Arabidopsis lyrata and A. arenosa genomes sequenced to study adaptive introgression,ERC000011,2017-10-08,2018-11-16,ERX2201909,Centre for Organismal Studies,Centre for Organismal Studies,2017-10-08T17:01:59Z,2017-09-29T14:26:01Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-10-09T00:00:00Z,SAMEA104326087,ERS1951065,ERS1951065,ERP022739,petraea,Arabidopsis lyrata subsp. petraea
ERR2145377,88-o WGS,WGS,202,4114419830,PRJEB20573,SAMEA104326088,2588430603,CENTRE FOR ORGANISMAL STUDIES,public,"sra,fastq","ena,gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public,ena",Arabidopsis lyrata and A. arenosa genomes sequenced to study adaptive introgression,ERC000011,2017-10-08,2018-11-16,ERX2201910,Centre for Organismal Studies,Centre for Organismal Studies,2017-10-08T17:01:59Z,2017-09-29T14:26:01Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-10-09T00:00:00Z,SAMEA104326088,ERS1951066,ERS1951066,ERP022739,petraea,Arabidopsis lyrata subsp. petraea
ERR2145379,88-q WGS,WGS,202,4506006728,PRJEB20573,SAMEA104326090,2795917711,CENTRE FOR ORGANISMAL STUDIES,public,"sra,fastq","s3,gs,ncbi,ena","gs.US,ncbi.public,s3.us-east-1,ena",Arabidopsis lyrata and A. arenosa genomes sequenced to study adaptive introgression,ERC000011,2017-10-08,2018-11-16,ERX2201912,Centre for Organismal Studies,Centre for Organismal Studies,2017-10-08T17:01:59Z,2017-09-29T14:26:01Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-10-09T00:00:00Z,SAMEA104326090,ERS1951068,ERS1951068,ERP022739,petraea,Arabidopsis lyrata subsp. petraea
ERR2145380,88-r WGS,WGS,202,4700240030,PRJEB20573,SAMEA104326091,2923784216,CENTRE FOR ORGANISMAL STUDIES,public,"sra,fastq","ncbi,s3,gs,ena","s3.us-east-1,ena,gs.US,ncbi.public",Arabidopsis lyrata and A. arenosa genomes sequenced to study adaptive introgression,ERC000011,2017-10-08,2018-11-16,ERX2201913,Centre for Organismal Studies,Centre for Organismal Studies,2017-10-08T17:01:59Z,2017-09-29T14:26:01Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-10-09T00:00:00Z,SAMEA104326091,ERS1951069,ERS1951069,ERP022739,petraea,Arabidopsis lyrata subsp. petraea
ERR2145381,88-s WGS,WGS,202,3960414424,PRJEB20573,SAMEA104326092,2470407308,CENTRE FOR ORGANISMAL STUDIES,public,"fastq,sra","gs,s3,ncbi,ena","gs.US,s3.us-east-1,ncbi.public,ena",Arabidopsis lyrata and A. arenosa genomes sequenced to study adaptive introgression,ERC000011,2017-10-08,2018-11-16,ERX2201914,Centre for Organismal Studies,Centre for Organismal Studies,2017-10-08T17:01:59Z,2017-09-29T14:26:01Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-10-09T00:00:00Z,SAMEA104326092,ERS1951070,ERS1951070,ERP022739,petraea,Arabidopsis lyrata subsp. petraea
ERR2145382,88-t WGS,WGS,202,4498175188,PRJEB20573,SAMEA104326093,2770073520,CENTRE FOR ORGANISMAL STUDIES,public,"fastq,sra","s3,ena,gs,ncbi","s3.us-east-1,gs.US,ncbi.public,ena",Arabidopsis lyrata and A. arenosa genomes sequenced to study adaptive introgression,ERC000011,2017-10-08,2018-11-16,ERX2201915,Centre for Organismal Studies,Centre for Organismal Studies,2017-10-08T17:01:59Z,2017-09-29T14:26:01Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-10-09T00:00:00Z,SAMEA104326093,ERS1951071,ERS1951071,ERP022739,petraea,Arabidopsis lyrata subsp. petraea
ERR2145384,88-v WGS,WGS,202,4301945318,PRJEB20573,SAMEA104326095,2634481165,CENTRE FOR ORGANISMAL STUDIES,public,"sra,fastq","ena,s3,gs,ncbi","ena,s3.us-east-1,ncbi.public,gs.US",Arabidopsis lyrata and A. arenosa genomes sequenced to study adaptive introgression,ERC000011,2017-10-08,2018-11-16,ERX2201917,Centre for Organismal Studies,Centre for Organismal Studies,2017-10-08T17:01:59Z,2017-09-29T14:26:02Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-10-09T00:00:00Z,SAMEA104326095,ERS1951073,ERS1951073,ERP022739,petraea,Arabidopsis lyrata subsp. petraea
ERR2145386,74-6 WGS,WGS,202,5859165742,PRJEB20573,SAMEA104326097,4008411269,CENTRE FOR ORGANISMAL STUDIES,public,"sra,fastq","s3,gs,ena,ncbi","ena,gs.US,ncbi.public,s3.us-east-1",Arabidopsis lyrata and A. arenosa genomes sequenced to study adaptive introgression,ERC000011,2017-10-08,2018-11-16,ERX2201919,Centre for Organismal Studies,Centre for Organismal Studies,2017-10-08T17:01:59Z,2017-09-29T14:26:02Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-10-09T00:00:00Z,SAMEA104326097,ERS1951075,ERS1951075,ERP022739,petraea,Arabidopsis lyrata subsp. petraea
ERR2145388,115-10 WGS,WGS,202,4462345034,PRJEB20573,SAMEA104326099,3003648415,CENTRE FOR ORGANISMAL STUDIES,public,"fastq,sra","ena,s3,ncbi,gs","ena,s3.us-east-1,ncbi.public,gs.US",Arabidopsis lyrata and A. arenosa genomes sequenced to study adaptive introgression,ERC000011,2017-10-08,2018-11-16,ERX2201921,Centre for Organismal Studies,Centre for Organismal Studies,2017-10-08T17:01:59Z,2017-09-29T14:26:02Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-10-09T00:00:00Z,SAMEA104326099,ERS1951077,ERS1951077,ERP022739,petraea,Arabidopsis lyrata subsp. petraea
ERR2145389,115-1 WGS,WGS,202,4987776526,PRJEB20573,SAMEA104326100,3334842111,CENTRE FOR ORGANISMAL STUDIES,public,"sra,fastq","gs,ncbi,s3,ena","gs.US,ncbi.public,ena,s3.us-east-1",Arabidopsis lyrata and A. arenosa genomes sequenced to study adaptive introgression,ERC000011,2017-10-08,2018-11-16,ERX2201922,Centre for Organismal Studies,Centre for Organismal Studies,2017-10-08T17:01:59Z,2017-09-29T14:26:02Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-10-09T00:00:00Z,SAMEA104326100,ERS1951078,ERS1951078,ERP022739,petraea,Arabidopsis lyrata subsp. petraea
ERR2145391,201GM-004 WGS,WGS,202,8282114938,PRJEB20573,SAMEA104326102,5629203982,CENTRE FOR ORGANISMAL STUDIES,public,"fastq,sra","gs,ncbi,s3,ena","gs.US,ena,s3.us-east-1,ncbi.public",Arabidopsis lyrata and A. arenosa genomes sequenced to study adaptive introgression,ERC000011,2017-10-08,2018-11-16,ERX2201924,Centre for Organismal Studies,Centre for Organismal Studies,2017-10-08T17:01:59Z,2017-09-29T14:26:02Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa subsp. borbasii,ILLUMINA,2017-10-09T00:00:00Z,SAMEA104326102,ERS1951080,ERS1951080,ERP022739,borbasii,Arabidopsis arenosa subsp. borbasii
ERR2145394,118GM-018 WGS,WGS,202,9790585692,PRJEB20573,SAMEA104326105,6530435373,CENTRE FOR ORGANISMAL STUDIES,public,"sra,fastq","gs,ncbi,ena,s3","ena,ncbi.public,s3.us-east-1,gs.US",Arabidopsis lyrata and A. arenosa genomes sequenced to study adaptive introgression,ERC000011,2017-10-08,2018-11-16,ERX2201927,Centre for Organismal Studies,Centre for Organismal Studies,2017-10-08T17:01:59Z,2017-09-29T14:26:02Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa subsp. borbasii,ILLUMINA,2017-10-09T00:00:00Z,SAMEA104326105,ERS1951083,ERS1951083,ERP022739,borbasii,Arabidopsis arenosa subsp. borbasii
ERR2145395,402140-e WGS,WGS,202,9441947428,PRJEB20573,SAMEA104326106,6276828459,CENTRE FOR ORGANISMAL STUDIES,public,"fastq,sra","s3,ncbi,gs,ena","ncbi.public,ena,gs.US,s3.us-east-1",Arabidopsis lyrata and A. arenosa genomes sequenced to study adaptive introgression,ERC000011,2017-10-08,2018-11-16,ERX2201928,Centre for Organismal Studies,Centre for Organismal Studies,2017-10-08T17:01:59Z,2017-09-29T14:26:02Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa subsp. borbasii,ILLUMINA,2017-10-09T00:00:00Z,SAMEA104326106,ERS1951084,ERS1951084,ERP022739,borbasii,Arabidopsis arenosa subsp. borbasii
