Run,Assay Type,AvgSpotLen,Bases,Biomaterial_provider,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,population_replicate,Population,ReleaseDate,Sample Name,SRA Study,tissue
SRR12778289,WGS,250,4903289063,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378523,Plant,2086698547,CHARLES UNIVERSITY IN PRAGUE,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",developed rosettes of adult plants,Non-serpentine,SRX9247924,Czech Republic,Europe,Czech Republic: Vlastejovice,HiSeq X Ten,N1_06,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,6,N1,2021-02-02T00:00:00Z,N1_06,SRP286483,leaf
SRR12778290,WGS,251,4934738437,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378522,Plant,2206597919,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",developed rosettes of adult plants,Non-serpentine,SRX9247923,Czech Republic,Europe,Czech Republic: Vlastejovice,HiSeq X Ten,N1_05,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,5,N1,2021-02-02T00:00:00Z,N1_05,SRP286483,leaf
SRR12778291,WGS,251,4601756861,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378521,Plant,1986631687,CHARLES UNIVERSITY IN PRAGUE,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",developed rosettes of adult plants,Non-serpentine,SRX9247922,Czech Republic,Europe,Czech Republic: Vlastejovice,HiSeq X Ten,N1_04,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,4,N1,2021-02-02T00:00:00Z,N1_04,SRP286483,leaf
SRR12778292,WGS,250,4511921827,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378520,Plant,1933189921,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",developed rosettes of adult plants,Non-serpentine,SRX9247921,Czech Republic,Europe,Czech Republic: Vlastejovice,HiSeq X Ten,N1_03,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,3,N1,2021-02-02T00:00:00Z,N1_03,SRP286483,leaf
SRR12778293,WGS,251,4554242597,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378519,Plant,2051055391,CHARLES UNIVERSITY IN PRAGUE,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",developed rosettes of adult plants,Non-serpentine,SRX9247920,Czech Republic,Europe,Czech Republic: Vlastejovice,HiSeq X Ten,N1_02,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,2,N1,2021-02-02T00:00:00Z,N1_02,SRP286483,leaf
SRR12778294,WGS,253,5014882140,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378518,Plant,2152238858,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",developed rosettes of adult plants,Non-serpentine,SRX9247919,Czech Republic,Europe,Czech Republic: Vlastejovice,HiSeq X Ten,N1_01,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,1,N1,2021-02-02T00:00:00Z,N1_01,SRP286483,leaf
SRR12778295,WGS,249,3719367523,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378517,Plant,1710766741,CHARLES UNIVERSITY IN PRAGUE,public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",developed rosettes of adult plants,Serpentine,SRX9247918,Austria,Europe,Austria: Steinegg,HiSeq X Ten,S2_08,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,8,S2,2021-02-02T00:00:00Z,S2_08,SRP286483,leaf
SRR12778296,WGS,253,3948071066,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378516,Plant,1820607840,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",developed rosettes of adult plants,Serpentine,SRX9247917,Austria,Europe,Austria: Steinegg,HiSeq X Ten,S2_07,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,7,S2,2021-02-02T00:00:00Z,S2_07,SRP286483,leaf
SRR12778297,WGS,249,4305355186,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378515,Plant,1968483505,CHARLES UNIVERSITY IN PRAGUE,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",developed rosettes of adult plants,Serpentine,SRX9247916,Austria,Europe,Austria: Steinegg,HiSeq X Ten,S2_06,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,6,S2,2021-02-02T00:00:00Z,S2_06,SRP286483,leaf
SRR12778298,WGS,251,4964136778,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378514,Plant,2212078389,CHARLES UNIVERSITY IN PRAGUE,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",developed rosettes of adult plants,Serpentine,SRX9247915,Austria,Europe,Austria: Steinegg,HiSeq X Ten,S2_05,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,5,S2,2021-02-02T00:00:00Z,S2_05,SRP286483,leaf
SRR12778299,WGS,249,4187098328,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378469,Plant,1903157703,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",developed rosettes of adult plants,Serpentine,SRX9247914,Czech Republic,Europe,Czech Republic: Borovsko,HiSeq X Ten,S1_06,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,6,S1,2021-02-02T00:00:00Z,S1_06,SRP286483,leaf
SRR12778300,WGS,253,3964625045,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378513,Plant,1763629146,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",developed rosettes of adult plants,Serpentine,SRX9247913,Austria,Europe,Austria: Steinegg,HiSeq X Ten,S2_04,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,4,S2,2021-02-02T00:00:00Z,S2_04,SRP286483,leaf
SRR12778301,WGS,251,4309597682,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378512,Plant,1924014016,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",developed rosettes of adult plants,Serpentine,SRX9247912,Austria,Europe,Austria: Steinegg,HiSeq X Ten,S2_03,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,3,S2,2021-02-02T00:00:00Z,S2_03,SRP286483,leaf
SRR12778302,WGS,253,4708176225,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378511,Plant,2101971071,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",developed rosettes of adult plants,Serpentine,SRX9247911,Austria,Europe,Austria: Steinegg,HiSeq X Ten,S2_02,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,2,S2,2021-02-02T00:00:00Z,S2_02,SRP286483,leaf
SRR12778303,WGS,249,4367150275,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378510,Plant,2007178623,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",developed rosettes of adult plants,Serpentine,SRX9247910,Austria,Europe,Austria: Steinegg,HiSeq X Ten,S2_01,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,1,S2,2021-02-02T00:00:00Z,S2_01,SRP286483,leaf
SRR12778304,WGS,251,5843622839,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378509,Plant,2511520942,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",developed rosettes of adult plants,Serpentine,SRX9247909,Austria,Europe,Austria: Pernegg,HiSeq X Ten,S5_08,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,8,S5,2021-02-02T00:00:00Z,S5_08,SRP286483,leaf
SRR12778305,WGS,251,4702341887,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378508,Plant,2045947010,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",developed rosettes of adult plants,Serpentine,SRX9247908,Austria,Europe,Austria: Pernegg,HiSeq X Ten,S5_07,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,7,S5,2021-02-02T00:00:00Z,S5_07,SRP286483,leaf
SRR12778306,WGS,251,4724283395,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378507,Plant,2124478920,CHARLES UNIVERSITY IN PRAGUE,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",developed rosettes of adult plants,Serpentine,SRX9247907,Austria,Europe,Austria: Pernegg,HiSeq X Ten,S5_06,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,6,S5,2021-02-02T00:00:00Z,S5_06,SRP286483,leaf
SRR12778307,WGS,252,11859438377,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378506,Plant,5094099866,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",developed rosettes of adult plants,Serpentine,SRX9247906,Austria,Europe,Austria: Pernegg,HiSeq X Ten,S5_05,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,5,S5,2021-02-02T00:00:00Z,S5_05,SRP286483,leaf
SRR12778308,WGS,252,6079356338,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378505,Plant,2678435344,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",developed rosettes of adult plants,Serpentine,SRX9247905,Austria,Europe,Austria: Pernegg,HiSeq X Ten,S5_04,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,4,S5,2021-02-02T00:00:00Z,S5_04,SRP286483,leaf
SRR12778309,WGS,252,4328811979,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378504,Plant,1915474738,CHARLES UNIVERSITY IN PRAGUE,public,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",developed rosettes of adult plants,Serpentine,SRX9247904,Austria,Europe,Austria: Pernegg,HiSeq X Ten,S5_03,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,3,S5,2021-02-02T00:00:00Z,S5_03,SRP286483,leaf
SRR12778310,WGS,253,3743143681,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378468,Plant,1715641294,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",developed rosettes of adult plants,Serpentine,SRX9247903,Czech Republic,Europe,Czech Republic: Borovsko,HiSeq X Ten,S1_05,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,5,S1,2021-02-02T00:00:00Z,S1_05,SRP286483,leaf
SRR12778311,WGS,251,4332785544,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378503,Plant,1961631708,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",developed rosettes of adult plants,Serpentine,SRX9247902,Austria,Europe,Austria: Pernegg,HiSeq X Ten,S5_02,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,2,S5,2021-02-02T00:00:00Z,S5_02,SRP286483,leaf
SRR12778312,WGS,252,4856001752,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378502,Plant,2152558972,CHARLES UNIVERSITY IN PRAGUE,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",developed rosettes of adult plants,Serpentine,SRX9247901,Austria,Europe,Austria: Pernegg,HiSeq X Ten,S5_01,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,1,S5,2021-02-02T00:00:00Z,S5_01,SRP286483,leaf
SRR12778313,WGS,251,4136948963,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378501,Plant,1782954211,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",developed rosettes of adult plants,Serpentine,SRX9247900,Austria,Europe,Austria: Oppenberg,HiSeq X Ten,S4_08,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,8,S4,2021-02-02T00:00:00Z,S4_08,SRP286483,leaf
SRR12778314,WGS,250,3609846619,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378500,Plant,1552784256,CHARLES UNIVERSITY IN PRAGUE,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",developed rosettes of adult plants,Serpentine,SRX9247899,Austria,Europe,Austria: Oppenberg,HiSeq X Ten,S4_07,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,7,S4,2021-02-02T00:00:00Z,S4_07,SRP286483,leaf
SRR12778315,WGS,250,4326688315,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378499,Plant,1923902555,CHARLES UNIVERSITY IN PRAGUE,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",developed rosettes of adult plants,Serpentine,SRX9247898,Austria,Europe,Austria: Oppenberg,HiSeq X Ten,S4_06,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,6,S4,2021-02-02T00:00:00Z,S4_06,SRP286483,leaf
SRR12778316,WGS,253,4908687011,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378498,Plant,2194205960,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",developed rosettes of adult plants,Serpentine,SRX9247897,Austria,Europe,Austria: Oppenberg,HiSeq X Ten,S4_05,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,5,S4,2021-02-02T00:00:00Z,S4_05,SRP286483,leaf
SRR12778317,WGS,253,4185280892,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378497,Plant,1810455038,CHARLES UNIVERSITY IN PRAGUE,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",developed rosettes of adult plants,Serpentine,SRX9247896,Austria,Europe,Austria: Oppenberg,HiSeq X Ten,S4_04,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,4,S4,2021-02-02T00:00:00Z,S4_04,SRP286483,leaf
SRR12778318,WGS,250,4040215192,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378496,Plant,1731641456,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",developed rosettes of adult plants,Serpentine,SRX9247895,Austria,Europe,Austria: Oppenberg,HiSeq X Ten,S4_03,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,3,S4,2021-02-02T00:00:00Z,S4_03,SRP286483,leaf
SRR12778319,WGS,253,4365994219,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378495,Plant,1890293083,CHARLES UNIVERSITY IN PRAGUE,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",developed rosettes of adult plants,Serpentine,SRX9247894,Austria,Europe,Austria: Oppenberg,HiSeq X Ten,S4_02,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,2,S4,2021-02-02T00:00:00Z,S4_02,SRP286483,leaf
