Run,Assay Type,BioProject,BioSample,Center Name,common_name,Consent,ENA-FIRST-PUBLIC (run),ena_first_public,ENA-LAST-UPDATE (run),ena_last_update,Experiment,external_id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_name,SRA_accession,SRA Study,Submitter_Id,Title,population,collection_year,AvgSpotLen,Bases,Bytes,DATASTORE filetype,DATASTORE provider,DATASTORE region
ERR5095374,RAD-Seq,PRJEB42417,SAMEA7806001,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,thale cress,public,2021-01-14,2021-01-14,2021-01-14,2021-01-13,ERX4901122,SAMEA7806001,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,2021-01-14T17:19:24Z,2021-01-13T13:07:28Z,public,Illumina HiSeq 3000,SINGLE,Reduced Representation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2021-01-31T00:00:00Z,SAMEA7806001,14_l2_sample_201404RG0CT---RP177,ERS5553252,ERP126269,14_l2_sample_201404RG0CT---RP177,14_l2_sample_201404RG0CT---RP177,CTRP,2014,88,2580492,1586344,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US"
ERR5095375,RAD-Seq,PRJEB42417,SAMEA7806017,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,thale cress,public,2021-01-14,2021-01-14,2021-01-14,2021-01-13,ERX4901123,SAMEA7806017,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,2021-01-14T17:19:24Z,2021-01-13T13:07:28Z,public,Illumina HiSeq 3000,SINGLE,Reduced Representation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2021-01-31T00:00:00Z,SAMEA7806017,14_l2_sample_201404RG0CT---RPx43,ERS5553268,ERP126269,14_l2_sample_201404RG0CT---RPx43,14_l2_sample_201404RG0CT---RPx43,CTRP,2014,90,4010997,2438840,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US"
ERR5095376,RAD-Seq,PRJEB42417,SAMEA7805994,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,thale cress,public,2021-01-14,2021-01-14,2021-01-14,2021-01-13,ERX4901124,SAMEA7805994,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,2021-01-14T17:19:24Z,2021-01-13T13:07:28Z,public,Illumina HiSeq 3000,SINGLE,Reduced Representation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2021-01-31T00:00:00Z,SAMEA7805994,14_l2_sample_201404RG0CT---RP156,ERS5553245,ERP126269,14_l2_sample_201404RG0CT---RP156,14_l2_sample_201404RG0CT---RP156,CTRP,2014,90,5639499,3407242,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US"
ERR5095377,RAD-Seq,PRJEB42417,SAMEA7805986,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,thale cress,public,2021-01-14,2021-01-14,2021-01-14,2021-01-13,ERX4901125,SAMEA7805986,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,2021-01-14T17:19:23Z,2021-01-13T13:07:28Z,public,Illumina HiSeq 3000,SINGLE,Reduced Representation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2021-01-31T00:00:00Z,SAMEA7805986,14_l2_sample_201404RG0CT---RP132,ERS5553237,ERP126269,14_l2_sample_201404RG0CT---RP132,14_l2_sample_201404RG0CT---RP132,CTRP,2014,90,7321371,4421835,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public"
ERR5095378,RAD-Seq,PRJEB42417,SAMEA7805997,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,thale cress,public,2021-01-14,2021-01-14,2021-01-14,2021-01-13,ERX4901126,SAMEA7805997,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,2021-01-14T17:19:24Z,2021-01-13T13:07:28Z,public,Illumina HiSeq 3000,SINGLE,Reduced Representation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2021-01-31T00:00:00Z,SAMEA7805997,14_l2_sample_201404RG0CT---RP165,ERS5553248,ERP126269,14_l2_sample_201404RG0CT---RP165,14_l2_sample_201404RG0CT---RP165,CTRP,2014,90,7636079,4641621,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US"
ERR5095379,RAD-Seq,PRJEB42417,SAMEA7805981,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,thale cress,public,2021-01-14,2021-01-14,2021-01-14,2021-01-13,ERX4901127,SAMEA7805981,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,2021-01-14T17:19:23Z,2021-01-13T13:07:27Z,public,Illumina HiSeq 3000,SINGLE,Reduced Representation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2021-01-31T00:00:00Z,SAMEA7805981,14_l2_sample_201404RG0CT---RP111,ERS5553232,ERP126269,14_l2_sample_201404RG0CT---RP111,14_l2_sample_201404RG0CT---RP111,CTRP,2014,90,4967061,3088397,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US"
ERR5095380,RAD-Seq,PRJEB42417,SAMEA7806020,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,thale cress,public,2021-01-14,2021-01-14,2021-01-14,2021-01-13,ERX4901128,SAMEA7806020,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,2021-01-14T17:19:24Z,2021-01-13T13:07:28Z,public,Illumina HiSeq 3000,SINGLE,Reduced Representation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2021-01-31T00:00:00Z,SAMEA7806020,14_l2_sample_201404RG0CT---RPx51,ERS5553271,ERP126269,14_l2_sample_201404RG0CT---RPx51,14_l2_sample_201404RG0CT---RPx51,CTRP,2014,90,7578710,4651352,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public"
ERR5095381,RAD-Seq,PRJEB42417,SAMEA7806016,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,thale cress,public,2021-01-14,2021-01-14,2021-01-14,2021-01-13,ERX4901129,SAMEA7806016,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,2021-01-14T17:19:24Z,2021-01-13T13:07:28Z,public,Illumina HiSeq 3000,SINGLE,Reduced Representation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2021-01-31T00:00:00Z,SAMEA7806016,14_l2_sample_201404RG0CT---RPx40,ERS5553267,ERP126269,14_l2_sample_201404RG0CT---RPx40,14_l2_sample_201404RG0CT---RPx40,CTRP,2014,90,8545320,5193226,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public"
ERR5095382,RAD-Seq,PRJEB42417,SAMEA7805989,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,thale cress,public,2021-01-14,2021-01-14,2021-01-14,2021-01-13,ERX4901130,SAMEA7805989,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,2021-01-14T17:19:24Z,2021-01-13T13:07:28Z,public,Illumina HiSeq 3000,SINGLE,Reduced Representation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2021-01-31T00:00:00Z,SAMEA7805989,14_l2_sample_201404RG0CT---RP141,ERS5553240,ERP126269,14_l2_sample_201404RG0CT---RP141,14_l2_sample_201404RG0CT---RP141,CTRP,2014,90,7350311,4434361,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1"
ERR5095383,RAD-Seq,PRJEB42417,SAMEA7805988,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,thale cress,public,2021-01-14,2021-01-14,2021-01-14,2021-01-13,ERX4901131,SAMEA7805988,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,2021-01-14T17:19:23Z,2021-01-13T13:07:28Z,public,Illumina HiSeq 3000,SINGLE,Reduced Representation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2021-01-31T00:00:00Z,SAMEA7805988,14_l2_sample_201404RG0CT---RP138,ERS5553239,ERP126269,14_l2_sample_201404RG0CT---RP138,14_l2_sample_201404RG0CT---RP138,CTRP,2014,90,6454774,3964329,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1"
ERR5095384,RAD-Seq,PRJEB42417,SAMEA7806030,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,thale cress,public,2021-01-14,2021-01-14,2021-01-14,2021-01-13,ERX4901132,SAMEA7806030,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,2021-01-14T17:19:24Z,2021-01-13T13:07:28Z,public,Illumina HiSeq 3000,SINGLE,Reduced Representation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2021-01-31T00:00:00Z,SAMEA7806030,14_l2_sample_201404RG0CT---RPx87,ERS5553281,ERP126269,14_l2_sample_201404RG0CT---RPx87,14_l2_sample_201404RG0CT---RPx87,CTRP,2014,90,426644,330071,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1"
ERR5095385,RAD-Seq,PRJEB42417,SAMEA7805982,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,thale cress,public,2021-01-14,2021-01-14,2021-01-14,2021-01-13,ERX4901133,SAMEA7805982,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,2021-01-14T17:19:23Z,2021-01-13T13:07:28Z,public,Illumina HiSeq 3000,SINGLE,Reduced Representation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2021-01-31T00:00:00Z,SAMEA7805982,14_l2_sample_201404RG0CT---RP114,ERS5553233,ERP126269,14_l2_sample_201404RG0CT---RP114,14_l2_sample_201404RG0CT---RP114,CTRP,2014,90,6385253,3901152,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US"
ERR5095386,RAD-Seq,PRJEB42417,SAMEA7805987,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,thale cress,public,2021-01-14,2021-01-14,2021-01-14,2021-01-13,ERX4901134,SAMEA7805987,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,2021-01-14T17:19:23Z,2021-01-13T13:07:28Z,public,Illumina HiSeq 3000,SINGLE,Reduced Representation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2021-01-31T00:00:00Z,SAMEA7805987,14_l2_sample_201404RG0CT---RP135,ERS5553238,ERP126269,14_l2_sample_201404RG0CT---RP135,14_l2_sample_201404RG0CT---RP135,CTRP,2014,90,9466010,5763814,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public"
ERR5095387,RAD-Seq,PRJEB42417,SAMEA7806026,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,thale cress,public,2021-01-14,2021-01-14,2021-01-14,2021-01-13,ERX4901135,SAMEA7806026,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,2021-01-14T17:19:24Z,2021-01-13T13:07:28Z,public,Illumina HiSeq 3000,SINGLE,Reduced Representation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2021-01-31T00:00:00Z,SAMEA7806026,14_l2_sample_201404RG0CT---RPx75,ERS5553277,ERP126269,14_l2_sample_201404RG0CT---RPx75,14_l2_sample_201404RG0CT---RPx75,CTRP,2014,90,11932274,7261410,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US"
ERR5095388,RAD-Seq,PRJEB42417,SAMEA7806028,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,thale cress,public,2021-01-14,2021-01-14,2021-01-14,2021-01-13,ERX4901136,SAMEA7806028,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,2021-01-14T17:19:24Z,2021-01-13T13:07:28Z,public,Illumina HiSeq 3000,SINGLE,Reduced Representation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2021-01-31T00:00:00Z,SAMEA7806028,14_l2_sample_201404RG0CT---RPx81,ERS5553279,ERP126269,14_l2_sample_201404RG0CT---RPx81,14_l2_sample_201404RG0CT---RPx81,CTRP,2014,90,5504585,3354638,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US"
ERR5095389,RAD-Seq,PRJEB42417,SAMEA7806018,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,thale cress,public,2021-01-14,2021-01-14,2021-01-14,2021-01-13,ERX4901137,SAMEA7806018,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,2021-01-14T17:19:24Z,2021-01-13T13:07:28Z,public,Illumina HiSeq 3000,SINGLE,Reduced Representation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2021-01-31T00:00:00Z,SAMEA7806018,14_l2_sample_201404RG0CT---RPx47,ERS5553269,ERP126269,14_l2_sample_201404RG0CT---RPx47,14_l2_sample_201404RG0CT---RPx47,CTRP,2014,90,8617903,5243142,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public"
ERR5095390,RAD-Seq,PRJEB42417,SAMEA7806034,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,thale cress,public,2021-01-14,2021-01-14,2021-01-14,2021-01-13,ERX4901138,SAMEA7806034,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,2021-01-14T17:19:24Z,2021-01-13T13:07:28Z,public,Illumina HiSeq 3000,SINGLE,Reduced Representation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2021-01-31T00:00:00Z,SAMEA7806034,14_l2_sample_201404RG0CT---RPx99,ERS5553285,ERP126269,14_l2_sample_201404RG0CT---RPx99,14_l2_sample_201404RG0CT---RPx99,CTRP,2014,90,78802,128493,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public"
ERR5095391,RAD-Seq,PRJEB42417,SAMEA7805995,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,thale cress,public,2021-01-14,2021-01-14,2021-01-14,2021-01-13,ERX4901139,SAMEA7805995,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,2021-01-14T17:19:24Z,2021-01-13T13:07:28Z,public,Illumina HiSeq 3000,SINGLE,Reduced Representation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2021-01-31T00:00:00Z,SAMEA7805995,14_l2_sample_201404RG0CT---RP159,ERS5553246,ERP126269,14_l2_sample_201404RG0CT---RP159,14_l2_sample_201404RG0CT---RP159,CTRP,2014,90,10364385,6367732,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1"
ERR5095392,RAD-Seq,PRJEB42417,SAMEA7806019,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,thale cress,public,2021-01-14,2021-01-14,2021-01-14,2021-01-13,ERX4901140,SAMEA7806019,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,2021-01-14T17:19:24Z,2021-01-13T13:07:28Z,public,Illumina HiSeq 3000,SINGLE,Reduced Representation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2021-01-31T00:00:00Z,SAMEA7806019,14_l2_sample_201404RG0CT---RPx48,ERS5553270,ERP126269,14_l2_sample_201404RG0CT---RPx48,14_l2_sample_201404RG0CT---RPx48,CTRP,2014,90,15448305,9376170,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US"
ERR5095393,RAD-Seq,PRJEB42417,SAMEA7805990,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,thale cress,public,2021-01-14,2021-01-14,2021-01-14,2021-01-13,ERX4901141,SAMEA7805990,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,2021-01-14T17:19:24Z,2021-01-13T13:07:28Z,public,Illumina HiSeq 3000,SINGLE,Reduced Representation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2021-01-31T00:00:00Z,SAMEA7805990,14_l2_sample_201404RG0CT---RP144,ERS5553241,ERP126269,14_l2_sample_201404RG0CT---RP144,14_l2_sample_201404RG0CT---RP144,CTRP,2014,90,6718617,4079275,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1"
