study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	library_layout	library_strategy	library_source	study_alias	run_alias	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title
PRJEB35573	ERP118645	SAMEA6249038	ERS4048703	ERX3676084	ERR3686480	ERA2300626	81971	Arabidopsis halleri subsp. halleri	ILLUMINA	Illumina NovaSeq 6000	A.halleri Wall 07 shoot 2 �M CdSO4 R1	PAIRED	RNA-Seq	TRANSCRIPTOMIC	ena-STUDY-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:58:606-829	ena-RUN-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:19:606-11	ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/000/ERR3686480/ERR3686480_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/000/ERR3686480/ERR3686480_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686480/P11.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686480/P11.R2.fq.gz		P11	A.halleri Wall 07 shoot Cd treatment
PRJEB35573	ERP118645	SAMEA6249039	ERS4048704	ERX3676085	ERR3686481	ERA2300626	81971	Arabidopsis halleri subsp. halleri	ILLUMINA	Illumina NovaSeq 6000	A.halleri Wall 10 shoot 2 �M CdSO4 R1	PAIRED	RNA-Seq	TRANSCRIPTOMIC	ena-STUDY-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:58:606-829	ena-RUN-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:19:606-12	ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/001/ERR3686481/ERR3686481_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/001/ERR3686481/ERR3686481_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686481/P12.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686481/P12.R2.fq.gz		P12	A.halleri Wall 10 shoot Cd treatment
PRJEB35573	ERP118645	SAMEA6249040	ERS4048705	ERX3676086	ERR3686482	ERA2300626	81971	Arabidopsis halleri subsp. halleri	ILLUMINA	Illumina NovaSeq 6000	A.halleri Noss 05 shoot 0 �M CdSO4 R2	PAIRED	RNA-Seq	TRANSCRIPTOMIC	ena-STUDY-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:58:606-829	ena-RUN-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:19:606-13	ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/002/ERR3686482/ERR3686482_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/002/ERR3686482/ERR3686482_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686482/P13.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686482/P13.R2.fq.gz		P13	A.halleri Noss 05 shoot control
PRJEB35573	ERP118645	SAMEA6249041	ERS4048706	ERX3676087	ERR3686483	ERA2300626	81971	Arabidopsis halleri subsp. halleri	ILLUMINA	Illumina NovaSeq 6000	A.halleri Noss 10 shoot 0 �M CdSO4 R2	PAIRED	RNA-Seq	TRANSCRIPTOMIC	ena-STUDY-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:58:606-829	ena-RUN-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:19:606-14	ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/003/ERR3686483/ERR3686483_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/003/ERR3686483/ERR3686483_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686483/P14.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686483/P14.R2.fq.gz		P14	A.halleri Noss 10 shoot control
PRJEB35573	ERP118645	SAMEA6249042	ERS4048707	ERX3676088	ERR3686484	ERA2300626	81971	Arabidopsis halleri subsp. halleri	ILLUMINA	Illumina NovaSeq 6000	A.halleri Pais 05 shoot 0 �M CdSO4 R2	PAIRED	RNA-Seq	TRANSCRIPTOMIC	ena-STUDY-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:58:606-829	ena-RUN-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:19:606-15	ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/004/ERR3686484/ERR3686484_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/004/ERR3686484/ERR3686484_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686484/P15.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686484/P15.R2.fq.gz		P15	A.halleri Pais 05 shoot control
PRJEB35573	ERP118645	SAMEA6249043	ERS4048708	ERX3676089	ERR3686485	ERA2300626	81971	Arabidopsis halleri subsp. halleri	ILLUMINA	Illumina NovaSeq 6000	A.halleri Pais 09 shoot 0 �M CdSO4 R2	PAIRED	RNA-Seq	TRANSCRIPTOMIC	ena-STUDY-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:58:606-829	ena-RUN-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:19:607-16	ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/005/ERR3686485/ERR3686485_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/005/ERR3686485/ERR3686485_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686485/P16.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686485/P16.R2.fq.gz		P16	A.halleri Pais 09 shoot control
PRJEB35573	ERP118645	SAMEA6249044	ERS4048709	ERX3676090	ERR3686486	ERA2300626	81971	Arabidopsis halleri subsp. halleri	ILLUMINA	Illumina NovaSeq 6000	A.halleri Wall 07 shoot 0 �M CdSO4 R2	PAIRED	RNA-Seq	TRANSCRIPTOMIC	ena-STUDY-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:58:606-829	ena-RUN-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:19:607-17	ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/006/ERR3686486/ERR3686486_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/006/ERR3686486/ERR3686486_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686486/P17.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686486/P17.R2.fq.gz		P17	A.halleri Wall 07 shoot control
PRJEB35573	ERP118645	SAMEA6249045	ERS4048710	ERX3676091	ERR3686487	ERA2300626	81971	Arabidopsis halleri subsp. halleri	ILLUMINA	Illumina NovaSeq 6000	A.halleri Wall 10 shoot 0 �M CdSO4 R2	PAIRED	RNA-Seq	TRANSCRIPTOMIC	ena-STUDY-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:58:606-829	ena-RUN-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:19:607-18	ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/007/ERR3686487/ERR3686487_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/007/ERR3686487/ERR3686487_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686487/P18.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686487/P18.R2.fq.gz		P18	A.halleri Wall 10 shoot control
PRJEB35573	ERP118645	SAMEA6249046	ERS4048711	ERX3676092	ERR3686488	ERA2300626	81971	Arabidopsis halleri subsp. halleri	ILLUMINA	Illumina NovaSeq 6000	A.halleri Noss 05 shoot 2 �M CdSO4 R2	PAIRED	RNA-Seq	TRANSCRIPTOMIC	ena-STUDY-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:58:606-829	ena-RUN-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:19:607-19	ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/008/ERR3686488/ERR3686488_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/008/ERR3686488/ERR3686488_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686488/P19.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686488/P19.R2.fq.gz		P19	A.halleri Noss 05 shoot Cd treatment
PRJEB35573	ERP118645	SAMEA6249047	ERS4048712	ERX3676093	ERR3686489	ERA2300626	81971	Arabidopsis halleri subsp. halleri	ILLUMINA	Illumina NovaSeq 6000	A.halleri Noss 10 shoot 2 �M CdSO4 R2	PAIRED	RNA-Seq	TRANSCRIPTOMIC	ena-STUDY-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:58:606-829	ena-RUN-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:19:607-20	ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/009/ERR3686489/ERR3686489_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/009/ERR3686489/ERR3686489_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686489/P20.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686489/P20.R2.fq.gz		P20	A.halleri Noss 10 shoot Cd treatment
PRJEB35573	ERP118645	SAMEA6249048	ERS4048713	ERX3676094	ERR3686490	ERA2300626	81971	Arabidopsis halleri subsp. halleri	ILLUMINA	Illumina NovaSeq 6000	A.halleri Pais 05 shoot 2 �M CdSO4 R2	PAIRED	RNA-Seq	TRANSCRIPTOMIC	ena-STUDY-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:58:606-829	ena-RUN-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:19:607-21	ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/000/ERR3686490/ERR3686490_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/000/ERR3686490/ERR3686490_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686490/P21.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686490/P21.R2.fq.gz		P21	A.halleri Pais 05 shoot Cd treatment
PRJEB35573	ERP118645	SAMEA6249049	ERS4048714	ERX3676095	ERR3686491	ERA2300626	81971	Arabidopsis halleri subsp. halleri	ILLUMINA	Illumina NovaSeq 6000	A.halleri Pais 09 shoot 2 �M CdSO4 R2	PAIRED	RNA-Seq	TRANSCRIPTOMIC	ena-STUDY-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:58:606-829	ena-RUN-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:19:607-22	ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/001/ERR3686491/ERR3686491_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/001/ERR3686491/ERR3686491_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686491/P22.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686491/P22.R2.fq.gz		P22	A.halleri Pais 09 shoot Cd treatment
PRJEB35573	ERP118645	SAMEA6249050	ERS4048715	ERX3676096	ERR3686492	ERA2300626	81971	Arabidopsis halleri subsp. halleri	ILLUMINA	Illumina NovaSeq 6000	A.halleri Wall 07 shoot 2 �M CdSO4 R2	PAIRED	RNA-Seq	TRANSCRIPTOMIC	ena-STUDY-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:58:606-829	ena-RUN-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:19:607-23	ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/002/ERR3686492/ERR3686492_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/002/ERR3686492/ERR3686492_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686492/P23.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686492/P23.R2.fq.gz		P23	A.halleri Wall 07 shoot Cd treeatment
PRJEB35573	ERP118645	SAMEA6249051	ERS4048716	ERX3676097	ERR3686493	ERA2300626	81971	Arabidopsis halleri subsp. halleri	ILLUMINA	Illumina NovaSeq 6000	A.halleri Wall 10 shoot 2 �M CdSO4 R2	PAIRED	RNA-Seq	TRANSCRIPTOMIC	ena-STUDY-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:58:606-829	ena-RUN-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:19:607-24	ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/003/ERR3686493/ERR3686493_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/003/ERR3686493/ERR3686493_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686493/P24.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686493/P24.R2.fq.gz		P24	A.halleri Wall 10 shoot Cd treatment
PRJEB35573	ERP118645	SAMEA6249052	ERS4048717	ERX3676098	ERR3686494	ERA2300626	81971	Arabidopsis halleri subsp. halleri	ILLUMINA	Illumina NovaSeq 6000	A.halleri Noss 05 shoot 0 �M CdSO4 R3	PAIRED	RNA-Seq	TRANSCRIPTOMIC	ena-STUDY-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:58:606-829	ena-RUN-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:19:607-25	ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/004/ERR3686494/ERR3686494_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/004/ERR3686494/ERR3686494_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686494/P25.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686494/P25.R2.fq.gz		P25	A.halleri Noss 05 shoot control
PRJEB35573	ERP118645	SAMEA6249053	ERS4048718	ERX3676099	ERR3686495	ERA2300626	81971	Arabidopsis halleri subsp. halleri	ILLUMINA	Illumina NovaSeq 6000	A.halleri Noss 10 shoot 0 �M CdSO4 R3	PAIRED	RNA-Seq	TRANSCRIPTOMIC	ena-STUDY-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:58:606-829	ena-RUN-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:19:607-26	ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/005/ERR3686495/ERR3686495_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/005/ERR3686495/ERR3686495_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686495/P26.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686495/P26.R2.fq.gz		P26	A.halleri Noss 10 shoot control
PRJEB35573	ERP118645	SAMEA6249054	ERS4048719	ERX3676100	ERR3686496	ERA2300626	81971	Arabidopsis halleri subsp. halleri	ILLUMINA	Illumina NovaSeq 6000	A.halleri Pais 05 shoot 0 �M CdSO4 R3	PAIRED	RNA-Seq	TRANSCRIPTOMIC	ena-STUDY-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:58:606-829	ena-RUN-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:19:607-27	ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/006/ERR3686496/ERR3686496_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/006/ERR3686496/ERR3686496_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686496/P27.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686496/P27.R2.fq.gz		P27	A.halleri Pais 05 shoot control
PRJEB35573	ERP118645	SAMEA6249055	ERS4048720	ERX3676101	ERR3686497	ERA2300626	81971	Arabidopsis halleri subsp. halleri	ILLUMINA	Illumina NovaSeq 6000	A.halleri Pais 09 shoot 0 �M CdSO4 R3	PAIRED	RNA-Seq	TRANSCRIPTOMIC	ena-STUDY-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:58:606-829	ena-RUN-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:19:607-28	ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/007/ERR3686497/ERR3686497_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/007/ERR3686497/ERR3686497_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686497/P28.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686497/P28.R2.fq.gz		P28	A.halleri Pais 09 shoot control
PRJEB35573	ERP118645	SAMEA6249056	ERS4048721	ERX3676102	ERR3686498	ERA2300626	81971	Arabidopsis halleri subsp. halleri	ILLUMINA	Illumina NovaSeq 6000	A.halleri Wall 07 shoot 0 �M CdSO4 R3	PAIRED	RNA-Seq	TRANSCRIPTOMIC	ena-STUDY-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:58:606-829	ena-RUN-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:19:607-29	ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/008/ERR3686498/ERR3686498_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/008/ERR3686498/ERR3686498_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686498/P29.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686498/P29.R2.fq.gz		P29	A.halleri Wall 07 shoot control
