Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,External_Id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_name,SRA_accession,SRA Study,Submitter_Id,Title,sub_species,common_name
ERR3014191,WGS,292,2254723844,PRJEB30473,SAMEA5190281,1141926779,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",public,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",2021-02-18,2020-12-18,2018-12-19,2018-12-19,ERX3016643,SAMEA5190281,USA,North America,USA,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2020-12-18T04:05:01Z,2018-12-19T10:53:57Z,public,Illumina HiSeq 2500,41.32 N 73.99 W,unspecified,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2021-03-14T00:00:00Z,SAMEA5190281,Alyrl_07_NY2_03,ERS2997775,ERP112933,Alyrl_07_NY2_03,Alyrl_07_NY2_03,lyrata,
ERR3014192,WGS,292,2460643704,PRJEB30473,SAMEA5190281,1265159985,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",2021-02-18,2020-12-18,2018-12-19,2018-12-19,ERX3016644,SAMEA5190281,USA,North America,USA,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2020-12-18T04:05:01Z,2018-12-19T10:53:57Z,public,Illumina HiSeq 2500,41.32 N 73.99 W,unspecified,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2021-03-14T00:00:00Z,SAMEA5190281,Alyrl_07_NY2_03,ERS2997775,ERP112933,Alyrl_07_NY2_03,Alyrl_07_NY2_03,lyrata,
ERR3014193,WGS,292,1533563268,PRJEB30473,SAMEA5190282,775653473,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",2021-02-18,2020-12-18,2018-12-19,2018-12-19,ERX3016645,SAMEA5190282,USA,North America,USA,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2020-12-18T04:05:01Z,2018-12-19T10:53:57Z,public,Illumina HiSeq 2500,41.32 N 73.99 W,unspecified,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2021-03-14T00:00:00Z,SAMEA5190282,Alyrl_07_NY2_25,ERS2997776,ERP112933,Alyrl_07_NY2_25,Alyrl_07_NY2_25,lyrata,
ERR3014194,WGS,292,1661957128,PRJEB30473,SAMEA5190282,841193707,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",2021-02-18,2020-12-18,2018-12-19,2018-12-19,ERX3016646,SAMEA5190282,USA,North America,USA,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2020-12-18T04:05:01Z,2018-12-19T10:53:57Z,public,Illumina HiSeq 2500,41.32 N 73.99 W,unspecified,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2021-03-14T00:00:00Z,SAMEA5190282,Alyrl_07_NY2_25,ERS2997776,ERP112933,Alyrl_07_NY2_25,Alyrl_07_NY2_25,lyrata,
ERR3014195,WGS,292,1642580884,PRJEB30473,SAMEA5190283,793088617,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",2021-02-18,2020-12-18,2018-12-19,2018-12-19,ERX3016647,SAMEA5190283,USA,North America,USA,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2020-12-18T04:05:01Z,2018-12-19T10:53:57Z,public,Illumina HiSeq 2500,41.73 N 73.56 W,unspecified,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2021-03-14T00:00:00Z,SAMEA5190283,Alyrl_07_NY3_20,ERS2997777,ERP112933,Alyrl_07_NY3_20,Alyrl_07_NY3_20,lyrata,
ERR3014196,WGS,292,1813864288,PRJEB30473,SAMEA5190283,902981940,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",2021-02-18,2020-12-18,2018-12-19,2018-12-19,ERX3016648,SAMEA5190283,USA,North America,USA,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2020-12-18T04:05:01Z,2018-12-19T10:53:57Z,public,Illumina HiSeq 2500,41.73 N 73.56 W,unspecified,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2021-03-14T00:00:00Z,SAMEA5190283,Alyrl_07_NY3_20,ERS2997777,ERP112933,Alyrl_07_NY3_20,Alyrl_07_NY3_20,lyrata,
ERR3014197,WGS,292,1528803668,PRJEB30473,SAMEA5190284,779799849,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",2021-02-18,2020-12-18,2018-12-19,2018-12-19,ERX3016649,SAMEA5190284,USA,North America,USA,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2020-12-18T04:05:01Z,2018-12-19T10:53:57Z,public,Illumina HiSeq 2500,41.73 N 73.56 W,unspecified,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2021-03-14T00:00:00Z,SAMEA5190284,Alyrl_07_NY3_22,ERS2997778,ERP112933,Alyrl_07_NY3_22,Alyrl_07_NY3_22,lyrata,
ERR3014198,WGS,292,1663353472,PRJEB30473,SAMEA5190284,859838510,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",2021-02-18,2020-12-18,2018-12-19,2018-12-19,ERX3016650,SAMEA5190284,USA,North America,USA,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2020-12-18T04:05:01Z,2018-12-19T10:53:57Z,public,Illumina HiSeq 2500,41.73 N 73.56 W,unspecified,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2021-03-14T00:00:00Z,SAMEA5190284,Alyrl_07_NY3_22,ERS2997778,ERP112933,Alyrl_07_NY3_22,Alyrl_07_NY3_22,lyrata,
ERR3014199,WGS,292,1518184796,PRJEB30473,SAMEA5190285,769345098,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",2021-02-18,2020-12-18,2018-12-19,2018-12-19,ERX3016651,SAMEA5190285,USA,North America,USA,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2020-12-18T04:05:01Z,2018-12-19T10:53:57Z,public,Illumina HiSeq 2500,42.66 N 74.02 W,unspecified,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2021-03-14T00:00:00Z,SAMEA5190285,Alyrl_07_NY5_02,ERS2997779,ERP112933,Alyrl_07_NY5_02,Alyrl_07_NY5_02,lyrata,
ERR3014200,WGS,292,1638604428,PRJEB30473,SAMEA5190285,843814467,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",2021-02-18,2020-12-18,2018-12-19,2018-12-19,ERX3016652,SAMEA5190285,USA,North America,USA,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2020-12-18T04:05:01Z,2018-12-19T10:53:57Z,public,Illumina HiSeq 2500,42.66 N 74.02 W,unspecified,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2021-03-14T00:00:00Z,SAMEA5190285,Alyrl_07_NY5_02,ERS2997779,ERP112933,Alyrl_07_NY5_02,Alyrl_07_NY5_02,lyrata,
ERR3014201,WGS,292,1725922064,PRJEB30473,SAMEA5190286,854103055,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",2021-02-18,2020-12-18,2018-12-19,2018-12-19,ERX3016653,SAMEA5190286,USA,North America,USA,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2020-12-18T04:05:01Z,2018-12-19T10:53:57Z,public,Illumina HiSeq 2500,42.66 N 74.02 W,unspecified,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2021-03-14T00:00:00Z,SAMEA5190286,Alyrl_07_NY5_19,ERS2997780,ERP112933,Alyrl_07_NY5_19,Alyrl_07_NY5_19,lyrata,
ERR3014202,WGS,292,1897910356,PRJEB30473,SAMEA5190286,957354937,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",public,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",2021-02-18,2020-12-18,2018-12-19,2018-12-19,ERX3016654,SAMEA5190286,USA,North America,USA,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2020-12-18T04:05:01Z,2018-12-19T10:53:57Z,public,Illumina HiSeq 2500,42.66 N 74.02 W,unspecified,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2021-03-14T00:00:00Z,SAMEA5190286,Alyrl_07_NY5_19,ERS2997780,ERP112933,Alyrl_07_NY5_19,Alyrl_07_NY5_19,lyrata,
ERR3014203,WGS,292,1696152372,PRJEB30473,SAMEA5190287,875219314,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",2021-02-18,2020-12-18,2018-12-19,2018-12-19,ERX3016655,SAMEA5190287,USA,North America,USA,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2020-12-18T04:05:01Z,2018-12-19T10:53:57Z,public,Illumina HiSeq 2500,42.17 N 80.07 W,unspecified,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2021-03-14T00:00:00Z,SAMEA5190287,Alyrl_07_PA4_03,ERS2997781,ERP112933,Alyrl_07_PA4_03,Alyrl_07_PA4_03,lyrata,
ERR3014204,WGS,292,1839464512,PRJEB30473,SAMEA5190287,962132038,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",public,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",2021-02-18,2020-12-18,2018-12-19,2018-12-19,ERX3016656,SAMEA5190287,USA,North America,USA,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2020-12-18T04:05:01Z,2018-12-19T10:53:57Z,public,Illumina HiSeq 2500,42.17 N 80.07 W,unspecified,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2021-03-14T00:00:00Z,SAMEA5190287,Alyrl_07_PA4_03,ERS2997781,ERP112933,Alyrl_07_PA4_03,Alyrl_07_PA4_03,lyrata,
ERR3014205,WGS,292,1598519252,PRJEB30473,SAMEA5190288,821254976,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",2021-02-18,2020-12-18,2018-12-19,2018-12-19,ERX3016657,SAMEA5190288,USA,North America,USA,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2020-12-18T04:05:01Z,2018-12-19T10:53:57Z,public,Illumina HiSeq 2500,42.17 N 80.07 W,unspecified,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2021-03-14T00:00:00Z,SAMEA5190288,Alyrl_07_PA4_19,ERS2997782,ERP112933,Alyrl_07_PA4_19,Alyrl_07_PA4_19,lyrata,
ERR3014206,WGS,292,1721707628,PRJEB30473,SAMEA5190288,898005114,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",2021-02-18,2020-12-18,2018-12-19,2018-12-19,ERX3016658,SAMEA5190288,USA,North America,USA,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2020-12-18T04:05:01Z,2018-12-19T10:53:57Z,public,Illumina HiSeq 2500,42.17 N 80.07 W,unspecified,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2021-03-14T00:00:00Z,SAMEA5190288,Alyrl_07_PA4_19,ERS2997782,ERP112933,Alyrl_07_PA4_19,Alyrl_07_PA4_19,lyrata,
ERR3014207,WGS,292,1540880204,PRJEB30473,SAMEA5190289,781577372,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",2021-02-18,2020-12-18,2018-12-19,2018-12-19,ERX3016659,SAMEA5190289,USA,North America,USA,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2020-12-18T04:05:01Z,2018-12-19T10:53:57Z,public,Illumina HiSeq 2500,41.61 N 87.19 W,unspecified,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2021-03-14T00:00:00Z,SAMEA5190289,Alyrl_07_IN1_05,ERS2997783,ERP112933,Alyrl_07_IN1_05,Alyrl_07_IN1_05,lyrata,
ERR3014208,WGS,292,1679896440,PRJEB30473,SAMEA5190289,863476633,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",public,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",2021-02-18,2020-12-18,2018-12-19,2018-12-19,ERX3016660,SAMEA5190289,USA,North America,USA,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2020-12-18T04:05:01Z,2018-12-19T10:53:57Z,public,Illumina HiSeq 2500,41.61 N 87.19 W,unspecified,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2021-03-14T00:00:00Z,SAMEA5190289,Alyrl_07_IN1_05,ERS2997783,ERP112933,Alyrl_07_IN1_05,Alyrl_07_IN1_05,lyrata,
ERR3014209,WGS,292,1483566736,PRJEB30473,SAMEA5190290,733743834,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",2021-02-18,2020-12-18,2018-12-19,2018-12-19,ERX3016661,SAMEA5190290,USA,North America,USA,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2020-12-18T04:05:01Z,2018-12-19T10:53:57Z,public,Illumina HiSeq 2500,41.61 N 87.19 W,unspecified,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2021-03-14T00:00:00Z,SAMEA5190290,Alyrl_07_IN1_30,ERS2997784,ERP112933,Alyrl_07_IN1_30,Alyrl_07_IN1_30,lyrata,
ERR3014210,WGS,292,1611682612,PRJEB30473,SAMEA5190290,811991673,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",2021-02-18,2020-12-18,2018-12-19,2018-12-19,ERX3016662,SAMEA5190290,USA,North America,USA,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2020-12-18T04:05:01Z,2018-12-19T10:53:57Z,public,Illumina HiSeq 2500,41.61 N 87.19 W,unspecified,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2021-03-14T00:00:00Z,SAMEA5190290,Alyrl_07_IN1_30,ERS2997784,ERP112933,Alyrl_07_IN1_30,Alyrl_07_IN1_30,lyrata,
ERR3014211,WGS,292,1485534524,PRJEB30473,SAMEA5190291,745495028,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",2021-02-18,2020-12-18,2018-12-19,2018-12-19,ERX3016663,SAMEA5190291,USA,North America,USA,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2020-12-18T04:05:01Z,2018-12-19T10:53:57Z,public,Illumina HiSeq 2500,42.42 N 87.8 W,unspecified,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2021-03-14T00:00:00Z,SAMEA5190291,Alyrl_07_IL2_11,ERS2997785,ERP112933,Alyrl_07_IL2_11,Alyrl_07_IL2_11,lyrata,
ERR3014212,WGS,292,1608807580,PRJEB30473,SAMEA5190291,820116422,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",public,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",2021-02-18,2020-12-18,2018-12-19,2018-12-19,ERX3016664,SAMEA5190291,USA,North America,USA,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2020-12-18T04:05:01Z,2018-12-19T10:53:57Z,public,Illumina HiSeq 2500,42.42 N 87.8 W,unspecified,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2021-03-14T00:00:00Z,SAMEA5190291,Alyrl_07_IL2_11,ERS2997785,ERP112933,Alyrl_07_IL2_11,Alyrl_07_IL2_11,lyrata,
