bio_material	accession	center_name	collected_by	collection_date	collection_date_submitted	cultivar	ecotype	elevation	experiment_accession	experiment_alias	instrument_model	instrument_platform	lat	lon	location	library_strategy	library_source	library_selection	library_name	library_layout	nominal_length	project_name	run_accession	run_alias	sample_accession	sample_alias	sample_description	sample_title	sampling_site	scientific_name	study_accession	study_alias	study_title	sub_species	taxonomic_classification	tax_id	secondary_sample_accession	secondary_study_accession
	SAMD00035313	UZH							DRX049299	DRX049299	Illumina HiSeq 2500	ILLUMINA				RNA-Seq	TRANSCRIPTOMIC	RANDOM	A. lyrata root zinc treatment	PAIRED	20		DRR054450	DRR054450	SAMD00035313	SAMD00035313	zinc treated root tissue of A. lyrata subsp. petraea for RNA-seq	A. lyarta R48hZ		Arabidopsis lyrata subsp. petraea	PRJDB4054	DRP003263	Zinc accumulation and transcriptional response in the allopolyploid Arabidopsis kamchatica	petraea		59691	DRS033951	DRP003263
	SAMD00045705	UZH							DRX049430	DRX049430	Illumina HiSeq 2000	ILLUMINA				WGS	GENOMIC	RANDOM	A. kamchatica KWS	PAIRED	200	Polymorphism analysis of Arabidopsis kamchatica	DRR054581	DRR054581	SAMD00045705	SAMD00045705	A. kamchatica KWS	A. kamchatica KWS		Arabidopsis kamchatica subsp. kamchatica	PRJDB4504	DRP003265	Polymorphism analysis of Arabidopsis kamchatica	kamchatica		1219863	DRS034036	DRP003265
	SAMD00045706	UZH							DRX049431	DRX049431	Illumina HiSeq 2000	ILLUMINA				WGS	GENOMIC	RANDOM	A. kamchatica TOY	PAIRED	200	Polymorphism analysis of Arabidopsis kamchatica	DRR054582	DRR054582	SAMD00045706	SAMD00045706	A. kamchatica TOY	A. kamchatica TOY		Arabidopsis kamchatica subsp. kamchatica	PRJDB4504	DRP003265	Polymorphism analysis of Arabidopsis kamchatica	kamchatica		1219863	DRS034037	DRP003265
	SAMD00045707	UZH							DRX049432	DRX049432	Illumina HiSeq 2000	ILLUMINA				WGS	GENOMIC	RANDOM	A. kamchatica TWN	PAIRED	200	Polymorphism analysis of Arabidopsis kamchatica	DRR054583	DRR054583	SAMD00045707	SAMD00045707	A. kamchatica TWN	A. kamchatica TWN		Arabidopsis kamchatica subsp. kamchatica	PRJDB4504	DRP003265	Polymorphism analysis of Arabidopsis kamchatica	kamchatica		1219863	DRS034038	DRP003265
	SAMD00045708	UZH							DRX049433	DRX049433	Illumina HiSeq 2500	ILLUMINA				WGS	GENOMIC	RANDOM	A. arenicola	PAIRED	200	Polymorphism analysis of Arabidopsis kamchatica	DRR054584	DRR054584	SAMD00045708	SAMD00045708	Arabidopsis arenicola	Arabidopsis arenicola		Arabidopsis arenicola	PRJDB4504	DRP003265	Polymorphism analysis of Arabidopsis kamchatica			347883	DRS034039	DRP003265
	SAMN03703442	Gregor mendel Institute	J. M. Saarela, L. J. Gillespie, P. C. Sokoloff, R. D. Bull	2012-07-11	2012-07-11				SRX1039071	Seq1	Illumina HiSeq 2000	ILLUMINA	63.1	-69.72	63.1 N 69.72 W	WGS	GENOMIC	RANDOM	Seq1	PAIRED			SRR2040769	Seq1_files	SAMN03703442	Aarenicola1	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis arenicola	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis arenicola		Arabidopsis arenicola	PRJNA284572	PRJNA284572	Arabidopsis Raw sequence reads			347883	SRS945919	SRP058749
	SAMN03703443	Gregor mendel Institute	L. L. Consaul, M. Ip, D. Charette	2010-07-03	2010-07-03				SRX1039072	Seq2	Illumina HiSeq 2000	ILLUMINA	56.54	-79.22	56.54 N 79.22 W	WGS	GENOMIC	RANDOM	Seq2	PAIRED			SRR2040770	Seq2_files	SAMN03703443	Aarenicola2	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis arenicola	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis arenicola		Arabidopsis arenicola	PRJNA284572	PRJNA284572	Arabidopsis Raw sequence reads			347883	SRS945918	SRP058749
	SAMN03703444	Gregor mendel Institute	R. Schmickl, G. Muir	2012-04-19	2012-04-19				SRX1039073	Seq3	Illumina HiSeq 2000	ILLUMINA	48.82	19.02	48.82 N 19.02 E	WGS	GENOMIC	RANDOM	Seq3	PAIRED			SRR2040771	Seq3_files	SAMN03703444	Acarpatica1	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis arenosa	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis arenosa		Arabidopsis arenosa	PRJNA284572	PRJNA284572	Arabidopsis Raw sequence reads			38785	SRS945917	SRP058749
	SAMN03703445	Gregor mendel Institute	R. Schmickl, G. Muir	2012-04-19	2012-04-19				SRX1039074	Seq4	Illumina HiSeq 2000	ILLUMINA	48.82	19.02	48.82 N 19.02 E	WGS	GENOMIC	RANDOM	Seq4	PAIRED			SRR2040772	Seq4_files	SAMN03703445	Acarpatica2	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis arenosa	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis arenosa		Arabidopsis arenosa	PRJNA284572	PRJNA284572	Arabidopsis Raw sequence reads			38785	SRS945916	SRP058749
	SAMN03703446	Gregor mendel Institute	R. Schmickl, G. Muir	2012-04-19	2012-04-19				SRX1039075	Seq5	Illumina HiSeq 2000	ILLUMINA	48.82	19.02	48.82 N 19.02 E	WGS	GENOMIC	RANDOM	Seq5	PAIRED			SRR2040773	Seq5_files	SAMN03703446	Acarpatica3	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis arenosa	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis arenosa		Arabidopsis arenosa	PRJNA284572	PRJNA284572	Arabidopsis Raw sequence reads			38785	SRS945915	SRP058749
	SAMN03703447	Gregor mendel Institute	M. A. Koch	2011-06-17	2011-06-17				SRX1039076	Seq6	Illumina HiSeq 2000	ILLUMINA	49.01	19.27	49.01 N 19.27 E	WGS	GENOMIC	RANDOM	Seq6	PAIRED			SRR2040774	Seq6_files	SAMN03703447	Acarpatica4	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis arenosa	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis arenosa		Arabidopsis arenosa	PRJNA284572	PRJNA284572	Arabidopsis Raw sequence reads			38785	SRS945914	SRP058749
	SAMN03703448	Gregor mendel Institute	M. A. Koch	1905-07-02	1905-07-02				SRX1039077	Seq7	Illumina HiSeq 2000	ILLUMINA	44.09	3.56	44.09 N 3.56 E	WGS	GENOMIC	RANDOM	Seq7	PAIRED			SRR2040775	Seq7_files	SAMN03703448	Acebennensis1	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis cebennensis	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis cebennensis		Arabidopsis cebennensis	PRJNA284572	PRJNA284572	Arabidopsis Raw sequence reads			97979	SRS945913	SRP058749
	SAMN03703449	Gregor mendel Institute	M. A. Koch	1905-07-02	1905-07-02				SRX1039078	Seq8	Illumina HiSeq 2000	ILLUMINA	44.89	4.18	44.89 N 4.18 E	WGS	GENOMIC	RANDOM	Seq8	PAIRED			SRR2040776	Seq8_files	SAMN03703449	Acebennensis2	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis cebennensis	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis cebennensis		Arabidopsis cebennensis	PRJNA284572	PRJNA284572	Arabidopsis Raw sequence reads			97979	SRS945911	SRP058749
	SAMN03703450	Gregor mendel Institute	M. A. Koch	1905-07-02	1905-07-02				SRX1039079	Seq9	Illumina HiSeq 2000	ILLUMINA	44.99	2.73	44.99 N 2.73 E	WGS	GENOMIC	RANDOM	Seq9	PAIRED			SRR2040777	Seq9_files	SAMN03703450	Acebennensis3	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis cebennensis	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis cebennensis		Arabidopsis cebennensis	PRJNA284572	PRJNA284572	Arabidopsis Raw sequence reads			97979	SRS945912	SRP058749
	SAMN03703451	Gregor mendel Institute	L. Malikova	2011-07-06	2011-07-06				SRX1039080	Seq10	Illumina HiSeq 2000	ILLUMINA	44.56	15.11	44.56 N 15.11 E	WGS	GENOMIC	RANDOM	Seq10	PAIRED			SRR2040778	Seq10_files	SAMN03703451	Acroatica1	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis croatica	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis croatica		Arabidopsis croatica	PRJNA284572	PRJNA284572	Arabidopsis Raw sequence reads			97980	SRS945910	SRP058749
	SAMN03703452	Gregor mendel Institute	G. Fuxova, F. Kolar	2012-05-22	2012-05-22				SRX1039081	Seq11	Illumina HiSeq 2000	ILLUMINA	44.81	14.93	44.81 N 14.93 E	WGS	GENOMIC	RANDOM	Seq11	PAIRED			SRR2040779	Seq11_files	SAMN03703452	Acroatica2	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis croatica	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis croatica		Arabidopsis croatica	PRJNA284572	PRJNA284572	Arabidopsis Raw sequence reads			97980	SRS945909	SRP058749
	SAMN03703453	Gregor mendel Institute	F. Kolar, G. Fuxova	2012-06-15	2012-06-15				SRX1039082	Seq12	Illumina HiSeq 2000	ILLUMINA	45.6	24.63	45.6 N 24.63 E	WGS	GENOMIC	RANDOM	Seq12	PAIRED			SRR2040780	Seq12_files	SAMN03703453	Ahalleridacica2	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis halleri subsp. dacica	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis halleri subsp. dacica		Arabidopsis halleri subsp. dacica	PRJNA284572	PRJNA284572	Arabidopsis Raw sequence reads	dacica		675858	SRS945908	SRP058749
	SAMN03703454	Gregor mendel Institute	N. Osada	1905-07-04	1905-07-04				SRX1039083	Seq13	Illumina HiSeq 2000	ILLUMINA	34.85	135.47	34.85 N 135.47 E	WGS	GENOMIC	RANDOM	Seq13	PAIRED			SRR2040781	Seq13_files	SAMN03703454	Ahallerigemmifera3	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis halleri subsp. gemmifera	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis halleri subsp. gemmifera		Arabidopsis halleri subsp. gemmifera	PRJNA284572	PRJNA284572	Arabidopsis Raw sequence reads	gemmifera		63677	SRS945907	SRP058749
	SAMN03703455	Gregor mendel Institute	M. A. Koch	2007-06-04	2007-06-04				SRX1039084	Seq14	Illumina HiSeq 2000	ILLUMINA	51.53	8.92	51.53 N 8.92 E	WGS	GENOMIC	RANDOM	Seq14	PAIRED			SRR2040782	Seq14_files	SAMN03703455	Ahallerihalleri1	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis halleri subsp. halleri	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis halleri subsp. halleri		Arabidopsis halleri subsp. halleri	PRJNA284572	PRJNA284572	Arabidopsis Raw sequence reads	halleri		81971	SRS945906	SRP058749
	SAMN03703456	Gregor mendel Institute	M. A. Koch	2012-06-27	2012-06-27				SRX1039085	Seq15	Illumina HiSeq 2000	ILLUMINA	47.63	15.25	47.63 N 15.25 E	WGS	GENOMIC	RANDOM	Seq15	PAIRED			SRR2040783	Seq15_files	SAMN03703456	Ahallerihalleri2	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis halleri subsp. halleri	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis halleri subsp. halleri		Arabidopsis halleri subsp. halleri	PRJNA284572	PRJNA284572	Arabidopsis Raw sequence reads	halleri		81971	SRS945904	SRP058749
	SAMN03703457	Gregor mendel Institute	M. M. Matschinger	1905-06-29	1905-06-29				SRX1039086	Seq16	Illumina HiSeq 2000	ILLUMINA	46.5	14.48	46.5 N 14.48 E	WGS	GENOMIC	RANDOM	Seq16	PAIRED			SRR2040784	Seq16_files	SAMN03703457	Ahalleriovirensis1	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis halleri subsp. ovirensis	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis halleri subsp. ovirensis		Arabidopsis halleri subsp. ovirensis	PRJNA284572	PRJNA284572	Arabidopsis Raw sequence reads	ovirensis		97982	SRS945905	SRP058749
	SAMN03703458	Gregor mendel Institute	E. Zaveska, S. spaniel	2013-06-16	2013-06-16				SRX1039087	Seq17	Illumina HiSeq 2000	ILLUMINA	46.5	14.48	46.5 N 14.48 E	WGS	GENOMIC	RANDOM	Seq17	PAIRED			SRR2040785	Seq17_files	SAMN03703458	Ahalleriovirensis2	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis halleri subsp. ovirensis	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis halleri subsp. ovirensis		Arabidopsis halleri subsp. ovirensis	PRJNA284572	PRJNA284572	Arabidopsis Raw sequence reads	ovirensis		97982	SRS945902	SRP058749
	SAMN03703459	Gregor mendel Institute	M. M. Matschinger, M. Kolnik						SRX1039088	Seq18	Illumina HiSeq 2000	ILLUMINA	48.98	19.63	48.98 N 19.63 E	WGS	GENOMIC	RANDOM	Seq18	PAIRED			SRR2040786	Seq18_files	SAMN03703459	Ahalleritatrica1	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis halleri subsp. tatrica	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis halleri subsp. tatrica		Arabidopsis halleri subsp. tatrica	PRJNA284572	PRJNA284572	Arabidopsis Raw sequence reads	tatrica		675859	SRS945903	SRP058749
	SAMN03703460	Gregor mendel Institute	F. Kolar, E. Zaveska, S. spaniel, M. Kolnik, K Marhold	2012-07-31	2012-07-31				SRX1039089	Seq19	Illumina HiSeq 2000	ILLUMINA	49.26	19.7	49.26 N 19.7 E	WGS	GENOMIC	RANDOM	Seq19	PAIRED			SRR2040787	Seq19_files	SAMN03703460	Ahalleritatrica2	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis halleri subsp. tatrica	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis halleri subsp. tatrica		Arabidopsis halleri subsp. tatrica	PRJNA284572	PRJNA284572	Arabidopsis Raw sequence reads	tatrica		675859	SRS945901	SRP058749
	SAMN03703461	Gregor mendel Institute							SRX1039090	Seq20	Illumina HiSeq 2000	ILLUMINA	42.26	-81.84	42.26 N 81.84 W	WGS	GENOMIC	RANDOM	Seq20	PAIRED			SRR2040788	Seq20_files	SAMN03703461	Alyratalyrata1	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis lyrata subsp. lyrata	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis lyrata subsp. lyrata		Arabidopsis lyrata subsp. lyrata	PRJNA284572	PRJNA284572	Arabidopsis Raw sequence reads	lyrata		81972	SRS945900	SRP058749
	SAMN03703462	Gregor mendel Institute							SRX1039091	Seq21	Illumina HiSeq 2000	ILLUMINA	43.25	-81.85	43.25 N 81.85 W	WGS	GENOMIC	RANDOM	Seq21	PAIRED			SRR2040789	Seq21_files	SAMN03703462	Alyratalyrata2	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis lyrata subsp. lyrata	This sample has been submitted by pda|polina_novikova on 2016-05-09; Arabidopsis lyrata subsp. lyrata		Arabidopsis lyrata subsp. lyrata	PRJNA284572	PRJNA284572	Arabidopsis Raw sequence reads	lyrata		81972	SRS945899	SRP058749
