Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Tissue
SRR1945445,not applicable,WGS,200,3719147200,PRJNA273563,SAMN03326289,Plant,2653285781,MPI-DB,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",not applicable,428,SRX972128,Czech Republic,Europe,Czech Republic,Illumina HiSeq 2000,428,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,428,SRP056687,leaf
SRR1945446,not applicable,WGS,202,2011352582,PRJNA273563,SAMN03326290,Plant,1320871046,MPI-DB,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",not applicable,430,SRX972129,Austria,Europe,Austria,Illumina HiSeq 2000,430,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,430,SRP056687,leaf
SRR1945447,not applicable,WGS,95,6709242279,PRJNA273563,SAMN03326291,Plant,4615701181,MPI-DB,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",not applicable,470,SRX972130,USA,North America,USA,Illumina HiSeq 2000,470,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,470,SRP056687,leaf/rosette
SRR1945448,not applicable,WGS,96,6126703382,PRJNA273563,SAMN03326292,Plant,4058682521,MPI-DB,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",not applicable,476,SRX972131,USA,North America,USA,Illumina HiSeq 2000,476,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,476,SRP056687,leaf/rosette
SRR1945449,not applicable,WGS,99,4099563093,PRJNA273563,SAMN03326293,Plant,1961068400,MPI-DB,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",not applicable,484,SRX972132,USA,North America,USA,Illumina HiSeq 2000,484,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,484,SRP056687,leaf/rosette
SRR1945450,not applicable,WGS,99,3837515117,PRJNA273563,SAMN03326294,Plant,1788309315,MPI-DB,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",not applicable,504,SRX972133,USA,North America,USA,Illumina HiSeq 2000,504,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,504,SRP056687,leaf/rosette
SRR1945451,not applicable,WGS,195,7496089101,PRJNA273563,SAMN03326295,Plant,5768876309,MPI-DB,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",not applicable,506,SRX972134,USA,North America,USA,Illumina HiSeq 2000,506,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,506,SRP056687,leaf/rosette
SRR1945452,not applicable,WGS,99,3882194521,PRJNA273563,SAMN03326296,Plant,1831793053,MPI-DB,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",not applicable,531,SRX972135,USA,North America,USA,Illumina HiSeq 2000,531,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,531,SRP056687,leaf/rosette
SRR1945453,not applicable,WGS,198,18032335309,PRJNA273563,SAMN03326297,Plant,12931293119,MPI-DB,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",not applicable,544,SRX972136,USA,North America,USA,Illumina HiSeq 2000,544,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,544,SRP056687,leaf/rosette
SRR1945454,not applicable,WGS,198,12306088246,PRJNA273563,SAMN03326298,Plant,8731863307,MPI-DB,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",not applicable,546,SRX972137,USA,North America,USA,Illumina HiSeq 2000,546,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,546,SRP056687,leaf/rosette
SRR1945455,not applicable,WGS,197,9579296632,PRJNA273563,SAMN03326299,Plant,7066216739,MPI-DB,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",not applicable,628,SRX972138,USA,North America,USA,Illumina HiSeq 2000,628,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,628,SRP056687,leaf/rosette
SRR1945456,not applicable,WGS,200,4799455600,PRJNA273563,SAMN03326300,Plant,3423664803,MPI-DB,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",not applicable,630,SRX972139,USA,North America,USA,Illumina HiSeq 2000,630,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,630,SRP056687,leaf
SRR1945457,not applicable,WGS,198,10124745115,PRJNA273563,SAMN03326301,Plant,7305721477,MPI-DB,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",not applicable,680,SRX972140,USA,North America,USA,Illumina HiSeq 2000,680,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,680,SRP056687,leaf/rosette
SRR1945458,not applicable,WGS,197,6598915251,PRJNA273563,SAMN03326302,Plant,4837804276,MPI-DB,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",not applicable,681,SRX972141,USA,North America,USA,Illumina HiSeq 2000,681,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,681,SRP056687,leaf/rosette
SRR1945459,not applicable,WGS,197,11475567028,PRJNA273563,SAMN03326303,Plant,8473582593,MPI-DB,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",not applicable,685,SRX972142,USA,North America,USA,Illumina HiSeq 2000,685,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,685,SRP056687,leaf/rosette
SRR1945460,not applicable,WGS,249,5964921725,PRJNA273563,SAMN03326304,Plant,4218177997,MPI-DB,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",not applicable,687,SRX972143,USA,North America,USA,Illumina HiSeq 2000,687,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,687,SRP056687,leaf/rosette
SRR1945461,not applicable,WGS,194,4483275950,PRJNA273563,SAMN03326305,Plant,2899392580,MPI-DB,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",not applicable,728,SRX972144,USA,North America,USA,Illumina HiSeq 2000,728,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,728,SRP056687,leaf/rosette
SRR1945462,not applicable,WGS,98,6208529641,PRJNA273563,SAMN03326306,Plant,3977925441,MPI-DB,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",not applicable,742,SRX972145,USA,North America,USA,Illumina HiSeq 2000,742,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,742,SRP056687,leaf/rosette
SRR1945463,not applicable,WGS,202,3821593560,PRJNA273563,SAMN03326307,Plant,2572289664,MPI-DB,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",not applicable,763,SRX972146,Kyrgyzstan,Asia,Kyrgyzstan,Illumina HiSeq 2000,763,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,763,SRP056687,leaf
SRR1945464,not applicable,WGS,202,1678179640,PRJNA273563,SAMN03326308,Plant,1084263476,MPI-DB,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",not applicable,765,SRX972147,Kyrgyzstan,Asia,Kyrgyzstan,Illumina HiSeq 2000,765,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,765,SRP056687,leaf
SRR1945465,not applicable,WGS,202,2059164164,PRJNA273563,SAMN03326309,Plant,1364837454,MPI-DB,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",not applicable,766,SRX972148,Kyrgyzstan,Asia,Kyrgyzstan,Illumina HiSeq 2000,766,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,766,SRP056687,leaf
SRR1945466,not applicable,WGS,202,1910530948,PRJNA273563,SAMN03326310,Plant,1220180221,MPI-DB,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",not applicable,768,SRX972149,Kyrgyzstan,Asia,Kyrgyzstan,Illumina HiSeq 2000,768,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,768,SRP056687,leaf
SRR1945467,not applicable,WGS,202,2765535540,PRJNA273563,SAMN03326311,Plant,1844878390,MPI-DB,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",not applicable,772,SRX972150,Tajikistan,Asia,Tajikistan,Illumina HiSeq 2000,772,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,772,SRP056687,leaf
SRR1945468,not applicable,WGS,200,4245988600,PRJNA273563,SAMN03326312,Plant,2732729283,MPI-DB,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",not applicable,801,SRX972151,USA,North America,USA,Illumina HiSeq 2000,801,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,801,SRP056687,leaf
SRR1945469,not applicable,WGS,197,12122769760,PRJNA273563,SAMN03326313,Plant,8927110766,MPI-DB,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",not applicable,853,SRX972152,USA,North America,USA,Illumina HiSeq 2000,853,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,853,SRP056687,leaf/rosette
SRR1945470,not applicable,WGS,198,10148792962,PRJNA273563,SAMN03326314,Plant,7329692454,MPI-DB,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",not applicable,854,SRX972153,USA,North America,USA,Illumina HiSeq 2000,854,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,854,SRP056687,leaf/rosette
SRR1945471,not applicable,WGS,198,6654081857,PRJNA273563,SAMN03326315,Plant,4692875657,MPI-DB,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",not applicable,867,SRX972154,USA,North America,USA,Illumina HiSeq 2000,867,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,867,SRP056687,leaf/rosette
SRR1945472,not applicable,WGS,198,5494848011,PRJNA273563,SAMN03326316,Plant,3980499301,MPI-DB,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",not applicable,868,SRX972155,USA,North America,USA,Illumina HiSeq 2000,868,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,868,SRP056687,leaf/rosette
SRR1945473,not applicable,WGS,200,4759549000,PRJNA273563,SAMN03326317,Plant,3082470963,MPI-DB,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",not applicable,870,SRX972156,USA,North America,USA,Illumina HiSeq 2000,870,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,870,SRP056687,leaf
SRR1945474,not applicable,WGS,200,2915350400,PRJNA273563,SAMN03326318,Plant,1874194311,MPI-DB,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",not applicable,915,SRX972157,USA,North America,USA,Illumina HiSeq 2000,915,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,915,SRP056687,leaf
SRR1945475,not applicable,WGS,200,3078469200,PRJNA273563,SAMN03326319,Plant,1981987478,MPI-DB,public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",not applicable,932,SRX972158,USA,North America,USA,Illumina HiSeq 2000,932,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,932,SRP056687,leaf
SRR1945476,not applicable,WGS,200,6832530800,PRJNA273563,SAMN03326320,Plant,5571162781,MPI-DB,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",not applicable,991,SRX972159,Sweden,Europe,Sweden,Illumina HiSeq 2000,991,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,991,SRP056687,root
SRR1945477,not applicable,WGS,152,3672736784,PRJNA273563,SAMN03326321,Plant,2242037402,MPI-DB,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",not applicable,992,SRX972160,Sweden,Europe,Sweden,Illumina Genome Analyzer IIx,992,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,992,SRP056687,root
SRR1945478,not applicable,WGS,152,3170568608,PRJNA273563,SAMN03326322,Plant,1502105748,MPI-DB,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",not applicable,997,SRX972161,Sweden,Europe,Sweden,Illumina Genome Analyzer IIx,997,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,997,SRP056687,root
SRR1945479,not applicable,WGS,152,3260566592,PRJNA273563,SAMN03326323,Plant,1575448250,MPI-DB,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",not applicable,1002,SRX972162,Sweden,Europe,Sweden,Illumina Genome Analyzer IIx,1002,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,1002,SRP056687,root
SRR1945480,not applicable,WGS,200,7059307400,PRJNA273563,SAMN03326324,Plant,4592639706,MPI-DB,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",not applicable,1006,SRX972163,Sweden,Europe,Sweden,Illumina HiSeq 2000,1006,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,1006,SRP056687,root
SRR1945481,not applicable,WGS,200,1965497600,PRJNA273563,SAMN03326325,Plant,1598025981,MPI-DB,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",not applicable,1061,SRX972164,Sweden,Europe,Sweden,Illumina HiSeq 2000,1061,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,1061,SRP056687,root
SRR1945482,not applicable,WGS,200,10430944000,PRJNA273563,SAMN03326326,Plant,8411601971,MPI-DB,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",not applicable,1062,SRX972165,Sweden,Europe,Sweden,Illumina HiSeq 2000,1062,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,1062,SRP056687,root
SRR1945483,not applicable,WGS,200,2192791800,PRJNA273563,SAMN03326327,Plant,1367319078,MPI-DB,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",not applicable,1063,SRX972166,Sweden,Europe,Sweden,Illumina HiSeq 2000,1063,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,1063,SRP056687,root
SRR1945484,not applicable,WGS,152,4166553472,PRJNA273563,SAMN03326328,Plant,2615207301,MPI-DB,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",not applicable,1066,SRX972167,Sweden,Europe,Sweden,Illumina Genome Analyzer IIx,1066,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,1066,SRP056687,root
SRR1945485,not applicable,WGS,152,5381002768,PRJNA273563,SAMN03326329,Plant,3450069994,MPI-DB,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",not applicable,1070,SRX972168,Sweden,Europe,Sweden,Illumina Genome Analyzer IIx,1070,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,1070,SRP056687,root
SRR1945486,not applicable,WGS,200,5255774400,PRJNA273563,SAMN03326330,Plant,3412856932,MPI-DB,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",not applicable,1158,SRX972169,Sweden,Europe,Sweden,Illumina HiSeq 2000,1158,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,1158,SRP056687,root
SRR1945487,not applicable,WGS,200,7765155400,PRJNA273563,SAMN03326331,Plant,5191274644,MPI-DB,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",not applicable,1166,SRX972170,Sweden,Europe,Sweden,Illumina HiSeq 2000,1166,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,1166,SRP056687,root
SRR1945488,not applicable,WGS,200,3866620200,PRJNA273563,SAMN03326332,Plant,2752820242,MPI-DB,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",not applicable,1254,SRX972171,Sweden,Europe,Sweden,Illumina HiSeq 2000,1254,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,1254,SRP056687,root
SRR1945489,not applicable,WGS,200,5788085400,PRJNA273563,SAMN03326333,Plant,4877777346,MPI-DB,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",not applicable,1257,SRX972172,Sweden,Europe,Sweden,Illumina HiSeq 2000,1257,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,1257,SRP056687,root
SRR1945490,not applicable,WGS,200,3378446400,PRJNA273563,SAMN03326334,Plant,1969784980,MPI-DB,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",not applicable,1313,SRX972173,Sweden,Europe,Sweden,Illumina HiSeq 2000,1313,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,1313,SRP056687,root
SRR1945491,not applicable,WGS,200,8620604000,PRJNA273563,SAMN03326335,Plant,5544591920,MPI-DB,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",not applicable,1317,SRX972174,Sweden,Europe,Sweden,Illumina HiSeq 2000,1317,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,1317,SRP056687,root
SRR1945492,not applicable,WGS,200,9120972600,PRJNA273563,SAMN03326336,Plant,7725390976,MPI-DB,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",not applicable,1552,SRX972175,Sweden,Europe,Sweden,Illumina HiSeq 2000,1552,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,1552,SRP056687,root
SRR1945493,not applicable,WGS,198,5599163203,PRJNA273563,SAMN03326337,Plant,3961372029,MPI-DB,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",not applicable,1612,SRX972176,USA,North America,USA,Illumina HiSeq 2000,1612,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,1612,SRP056687,leaf/rosette
SRR1945494,not applicable,WGS,197,7563816369,PRJNA273563,SAMN03326338,Plant,5472044380,MPI-DB,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",not applicable,1622,SRX972177,USA,North America,USA,Illumina HiSeq 2000,1622,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,1622,SRP056687,leaf/rosette
SRR1945495,not applicable,WGS,198,6006898741,PRJNA273563,SAMN03326339,Plant,4293720471,MPI-DB,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",not applicable,1651,SRX972178,USA,North America,USA,Illumina HiSeq 2000,1651,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,1651,SRP056687,leaf/rosette
SRR1945496,not applicable,WGS,197,6699268821,PRJNA273563,SAMN03326340,Plant,4898851191,MPI-DB,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",not applicable,1652,SRX972179,USA,North America,USA,Illumina HiSeq 2000,1652,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,1652,SRP056687,leaf/rosette
SRR1945497,not applicable,WGS,198,6530209738,PRJNA273563,SAMN03326341,Plant,4661033019,MPI-DB,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",not applicable,1676,SRX972180,USA,North America,USA,Illumina HiSeq 2000,1676,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,1676,SRP056687,leaf/rosette
SRR1945498,not applicable,WGS,197,5220892050,PRJNA273563,SAMN03326342,Plant,3224209763,MPI-DB,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",not applicable,1684,SRX972181,USA,North America,USA,Illumina HiSeq 2000,1684,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,1684,SRP056687,leaf/rosette
SRR1945499,not applicable,WGS,96,6473539322,PRJNA273563,SAMN03326343,Plant,4423234579,MPI-DB,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",not applicable,1739,SRX972182,USA,North America,USA,Illumina HiSeq 2000,1739,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,1739,SRP056687,leaf/rosette
SRR1945500,not applicable,WGS,95,6069696495,PRJNA273563,SAMN03326344,Plant,4132996236,MPI-DB,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",not applicable,1741,SRX972183,USA,North America,USA,Illumina HiSeq 2000,1741,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,1741,SRP056687,leaf/rosette
