Run,Assay Type,AvgSpotLen,Bases,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Extract_protocol,growth_protocol,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Molecule,Organism,Platform,ReleaseDate,Sample Name,SRA Study,title
SRR5421627,OTHER,300,8675582100,SAMN06691206,4048306278,LIPM-INRA-CNRS,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX2713278,"DNA was extracted by using a home-made protocol that use filter PALL plates. Briefly: 1- 400ul of DNA extraction buffer (Tris 1M ph 8.0 + EDTA 0.5M NaCL 2.5M, SDS 20%, PVP 40.000+ Sodium Bisulfite) was added in each sample and plates were incubated 20 ...",Plants were sampled directly from the field and moved on a greenhouse where they were maintained for almost 2 months prior DNA extraction. Plants were sampled with their own soil and placed in plastic plateau. Conditions in the greenhouse were not cont...,Illumina HiSeq 3000,,PAIRED,other,GENOMIC,genomic_DNA,Arabidopsis thaliana,ILLUMINA,2018-04-05T00:00:00Z,SAMPLE_Climares_Ath_MAZA-A_1491483760_sra_1,SRP103198,Climares_Ath_MAZA-A
SRR5421628,OTHER,300,6852901200,SAMN06691207,3260537234,LIPM-INRA-CNRS,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX2713277,"DNA was extracted by using a home-made protocol that use filter PALL plates. Briefly: 1- 400ul of DNA extraction buffer (Tris 1M ph 8.0 + EDTA 0.5M NaCL 2.5M, SDS 20%, PVP 40.000+ Sodium Bisulfite) was added in each sample and plates were incubated 20 ...",Plants were sampled directly from the field and moved on a greenhouse where they were maintained for almost 2 months prior DNA extraction. Plants were sampled with their own soil and placed in plastic plateau. Conditions in the greenhouse were not cont...,Illumina HiSeq 3000,,PAIRED,other,GENOMIC,genomic_DNA,Arabidopsis thaliana,ILLUMINA,2018-04-05T00:00:00Z,SAMPLE_Climares_Ath_BERNA-A_1491483760_sra_1,SRP103198,Climares_Ath_BERNA-A
SRR5421629,OTHER,300,7942569300,SAMN06691208,3723969725,LIPM-INRA-CNRS,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX2713276,"DNA was extracted by using a home-made protocol that use filter PALL plates. Briefly: 1- 400ul of DNA extraction buffer (Tris 1M ph 8.0 + EDTA 0.5M NaCL 2.5M, SDS 20%, PVP 40.000+ Sodium Bisulfite) was added in each sample and plates were incubated 20 ...",Plants were sampled directly from the field and moved on a greenhouse where they were maintained for almost 2 months prior DNA extraction. Plants were sampled with their own soil and placed in plastic plateau. Conditions in the greenhouse were not cont...,Illumina HiSeq 3000,,PAIRED,other,GENOMIC,genomic_DNA,Arabidopsis thaliana,ILLUMINA,2018-04-05T00:00:00Z,SAMPLE_Climares_Ath_PANA-C_1491483761_sra_1,SRP103198,Climares_Ath_PANA-C
SRR5421630,OTHER,300,7740508200,SAMN06691209,3680310621,LIPM-INRA-CNRS,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX2713275,"DNA was extracted by using a home-made protocol that use filter PALL plates. Briefly: 1- 400ul of DNA extraction buffer (Tris 1M ph 8.0 + EDTA 0.5M NaCL 2.5M, SDS 20%, PVP 40.000+ Sodium Bisulfite) was added in each sample and plates were incubated 20 ...",Plants were sampled directly from the field and moved on a greenhouse where they were maintained for almost 2 months prior DNA extraction. Plants were sampled with their own soil and placed in plastic plateau. Conditions in the greenhouse were not cont...,Illumina HiSeq 3000,,PAIRED,other,GENOMIC,genomic_DNA,Arabidopsis thaliana,ILLUMINA,2018-04-05T00:00:00Z,SAMPLE_Climares_Ath_BELC-B_1491483761_sra_1,SRP103198,Climares_Ath_BELC-B
SRR5421631,OTHER,300,4973445300,SAMN06691210,2284398363,LIPM-INRA-CNRS,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX2713274,"DNA was extracted by using a home-made protocol that use filter PALL plates. Briefly: 1- 400ul of DNA extraction buffer (Tris 1M ph 8.0 + EDTA 0.5M NaCL 2.5M, SDS 20%, PVP 40.000+ Sodium Bisulfite) was added in each sample and plates were incubated 20 ...",Plants were sampled directly from the field and moved on a greenhouse where they were maintained for almost 2 months prior DNA extraction. Plants were sampled with their own soil and placed in plastic plateau. Conditions in the greenhouse were not cont...,Illumina HiSeq 3000,,PAIRED,other,GENOMIC,genomic_DNA,Arabidopsis thaliana,ILLUMINA,2018-04-05T00:00:00Z,SAMPLE_Climares_Ath_MONTG-B_1491483761_sra_1,SRP103198,Climares_Ath_MONTG-B
SRR5421632,OTHER,300,8929484700,SAMN06691211,4055977806,LIPM-INRA-CNRS,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX2713273,"DNA was extracted by using a home-made protocol that use filter PALL plates. Briefly: 1- 400ul of DNA extraction buffer (Tris 1M ph 8.0 + EDTA 0.5M NaCL 2.5M, SDS 20%, PVP 40.000+ Sodium Bisulfite) was added in each sample and plates were incubated 20 ...",Plants were sampled directly from the field and moved on a greenhouse where they were maintained for almost 2 months prior DNA extraction. Plants were sampled with their own soil and placed in plastic plateau. Conditions in the greenhouse were not cont...,Illumina HiSeq 3000,,PAIRED,other,GENOMIC,genomic_DNA,Arabidopsis thaliana,ILLUMINA,2018-04-05T00:00:00Z,SAMPLE_Climares_Ath_LABA-C_1491483761_sra_1,SRP103198,Climares_Ath_LABA-C
SRR5421633,OTHER,300,7593823800,SAMN06691212,3611194340,LIPM-INRA-CNRS,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX2713272,"DNA was extracted by using a home-made protocol that use filter PALL plates. Briefly: 1- 400ul of DNA extraction buffer (Tris 1M ph 8.0 + EDTA 0.5M NaCL 2.5M, SDS 20%, PVP 40.000+ Sodium Bisulfite) was added in each sample and plates were incubated 20 ...",Plants were sampled directly from the field and moved on a greenhouse where they were maintained for almost 2 months prior DNA extraction. Plants were sampled with their own soil and placed in plastic plateau. Conditions in the greenhouse were not cont...,Illumina HiSeq 3000,,PAIRED,other,GENOMIC,genomic_DNA,Arabidopsis thaliana,ILLUMINA,2018-04-05T00:00:00Z,SAMPLE_Climares_Ath_CAMA-D_1491483761_sra_1,SRP103198,Climares_Ath_CAMA-D
SRR5421634,OTHER,300,7984325100,SAMN06691213,3802421968,LIPM-INRA-CNRS,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX2713271,"DNA was extracted by using a home-made protocol that use filter PALL plates. Briefly: 1- 400ul of DNA extraction buffer (Tris 1M ph 8.0 + EDTA 0.5M NaCL 2.5M, SDS 20%, PVP 40.000+ Sodium Bisulfite) was added in each sample and plates were incubated 20 ...",Plants were sampled directly from the field and moved on a greenhouse where they were maintained for almost 2 months prior DNA extraction. Plants were sampled with their own soil and placed in plastic plateau. Conditions in the greenhouse were not cont...,Illumina HiSeq 3000,,PAIRED,other,GENOMIC,genomic_DNA,Arabidopsis thaliana,ILLUMINA,2018-04-05T00:00:00Z,SAMPLE_Climares_Ath_NAUV-C_1491483761_sra_1,SRP103198,Climares_Ath_NAUV-C
SRR5421635,OTHER,300,3617592900,SAMN06691214,1721102526,LIPM-INRA-CNRS,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX2713270,"DNA was extracted by using a home-made protocol that use filter PALL plates. Briefly: 1- 400ul of DNA extraction buffer (Tris 1M ph 8.0 + EDTA 0.5M NaCL 2.5M, SDS 20%, PVP 40.000+ Sodium Bisulfite) was added in each sample and plates were incubated 20 ...",Plants were sampled directly from the field and moved on a greenhouse where they were maintained for almost 2 months prior DNA extraction. Plants were sampled with their own soil and placed in plastic plateau. Conditions in the greenhouse were not cont...,Illumina HiSeq 3000,,PAIRED,other,GENOMIC,genomic_DNA,Arabidopsis thaliana,ILLUMINA,2018-04-05T00:00:00Z,SAMPLE_Climares_Ath_BACC-E_1491483762_sra_1,SRP103198,Climares_Ath_BACC-E
SRR5421636,OTHER,300,4856551200,SAMN06691215,2178646417,LIPM-INRA-CNRS,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX2713269,"DNA was extracted by using a home-made protocol that use filter PALL plates. Briefly: 1- 400ul of DNA extraction buffer (Tris 1M ph 8.0 + EDTA 0.5M NaCL 2.5M, SDS 20%, PVP 40.000+ Sodium Bisulfite) was added in each sample and plates were incubated 20 ...",Plants were sampled directly from the field and moved on a greenhouse where they were maintained for almost 2 months prior DNA extraction. Plants were sampled with their own soil and placed in plastic plateau. Conditions in the greenhouse were not cont...,Illumina HiSeq 3000,,PAIRED,other,GENOMIC,genomic_DNA,Arabidopsis thaliana,ILLUMINA,2018-04-05T00:00:00Z,SAMPLE_Climares_Ath_LABA-A_1491483762_sra_1,SRP103198,Climares_Ath_LABA-A
SRR5421637,OTHER,300,9335180400,SAMN06691216,4264882619,LIPM-INRA-CNRS,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX2713268,"DNA was extracted by using a home-made protocol that use filter PALL plates. Briefly: 1- 400ul of DNA extraction buffer (Tris 1M ph 8.0 + EDTA 0.5M NaCL 2.5M, SDS 20%, PVP 40.000+ Sodium Bisulfite) was added in each sample and plates were incubated 20 ...",Plants were sampled directly from the field and moved on a greenhouse where they were maintained for almost 2 months prior DNA extraction. Plants were sampled with their own soil and placed in plastic plateau. Conditions in the greenhouse were not cont...,Illumina HiSeq 3000,,PAIRED,other,GENOMIC,genomic_DNA,Arabidopsis thaliana,ILLUMINA,2018-04-05T00:00:00Z,SAMPLE_Climares_Ath_THOM-A_1491483762_sra_1,SRP103198,Climares_Ath_THOM-A
SRR5421638,OTHER,300,4168187700,SAMN06691217,1895160478,LIPM-INRA-CNRS,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX2713267,"DNA was extracted by using a home-made protocol that use filter PALL plates. Briefly: 1- 400ul of DNA extraction buffer (Tris 1M ph 8.0 + EDTA 0.5M NaCL 2.5M, SDS 20%, PVP 40.000+ Sodium Bisulfite) was added in each sample and plates were incubated 20 ...",Plants were sampled directly from the field and moved on a greenhouse where they were maintained for almost 2 months prior DNA extraction. Plants were sampled with their own soil and placed in plastic plateau. Conditions in the greenhouse were not cont...,Illumina HiSeq 3000,,PAIRED,other,GENOMIC,genomic_DNA,Arabidopsis thaliana,ILLUMINA,2018-04-05T00:00:00Z,SAMPLE_Climares_Ath_MONTM-Abis_1491483762_sra_1,SRP103198,Climares_Ath_MONTM-Abis
SRR5421639,OTHER,300,6660438300,SAMN06691218,3134927564,LIPM-INRA-CNRS,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX2713266,"DNA was extracted by using a home-made protocol that use filter PALL plates. Briefly: 1- 400ul of DNA extraction buffer (Tris 1M ph 8.0 + EDTA 0.5M NaCL 2.5M, SDS 20%, PVP 40.000+ Sodium Bisulfite) was added in each sample and plates were incubated 20 ...",Plants were sampled directly from the field and moved on a greenhouse where they were maintained for almost 2 months prior DNA extraction. Plants were sampled with their own soil and placed in plastic plateau. Conditions in the greenhouse were not cont...,Illumina HiSeq 3000,,PAIRED,other,GENOMIC,genomic_DNA,Arabidopsis thaliana,ILLUMINA,2018-04-05T00:00:00Z,SAMPLE_Climares_Ath_BANI-C_1491483762_sra_1,SRP103198,Climares_Ath_BANI-C
SRR5421640,OTHER,300,6672287400,SAMN06691219,3084485689,LIPM-INRA-CNRS,public,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX2713265,"DNA was extracted by using a home-made protocol that use filter PALL plates. Briefly: 1- 400ul of DNA extraction buffer (Tris 1M ph 8.0 + EDTA 0.5M NaCL 2.5M, SDS 20%, PVP 40.000+ Sodium Bisulfite) was added in each sample and plates were incubated 20 ...",Plants were sampled directly from the field and moved on a greenhouse where they were maintained for almost 2 months prior DNA extraction. Plants were sampled with their own soil and placed in plastic plateau. Conditions in the greenhouse were not cont...,Illumina HiSeq 3000,,PAIRED,other,GENOMIC,genomic_DNA,Arabidopsis thaliana,ILLUMINA,2018-04-05T00:00:00Z,SAMPLE_Climares_Ath_GAIL-A_1491483762_sra_1,SRP103198,Climares_Ath_GAIL-A
SRR5421641,OTHER,300,8185888800,SAMN06691220,3859026354,LIPM-INRA-CNRS,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX2713264,"DNA was extracted by using a home-made protocol that use filter PALL plates. Briefly: 1- 400ul of DNA extraction buffer (Tris 1M ph 8.0 + EDTA 0.5M NaCL 2.5M, SDS 20%, PVP 40.000+ Sodium Bisulfite) was added in each sample and plates were incubated 20 ...",Plants were sampled directly from the field and moved on a greenhouse where they were maintained for almost 2 months prior DNA extraction. Plants were sampled with their own soil and placed in plastic plateau. Conditions in the greenhouse were not cont...,Illumina HiSeq 3000,,PAIRED,other,GENOMIC,genomic_DNA,Arabidopsis thaliana,ILLUMINA,2018-04-05T00:00:00Z,SAMPLE_Climares_Ath_LANT-B_1491483763_sra_1,SRP103198,Climares_Ath_LANT-B
SRR5421642,OTHER,300,4710904500,SAMN06691221,2298264138,LIPM-INRA-CNRS,public,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX2713263,"DNA was extracted by using a home-made protocol that use filter PALL plates. Briefly: 1- 400ul of DNA extraction buffer (Tris 1M ph 8.0 + EDTA 0.5M NaCL 2.5M, SDS 20%, PVP 40.000+ Sodium Bisulfite) was added in each sample and plates were incubated 20 ...",Plants were sampled directly from the field and moved on a greenhouse where they were maintained for almost 2 months prior DNA extraction. Plants were sampled with their own soil and placed in plastic plateau. Conditions in the greenhouse were not cont...,Illumina HiSeq 3000,,PAIRED,other,GENOMIC,genomic_DNA,Arabidopsis thaliana,ILLUMINA,2018-04-05T00:00:00Z,SAMPLE_Climares_Ath_CLAR-A_1491483763_sra_1,SRP103198,Climares_Ath_CLAR-A
SRR5421643,OTHER,300,8641699500,SAMN06691222,3901616965,LIPM-INRA-CNRS,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX2713262,"DNA was extracted by using a home-made protocol that use filter PALL plates. Briefly: 1- 400ul of DNA extraction buffer (Tris 1M ph 8.0 + EDTA 0.5M NaCL 2.5M, SDS 20%, PVP 40.000+ Sodium Bisulfite) was added in each sample and plates were incubated 20 ...",Plants were sampled directly from the field and moved on a greenhouse where they were maintained for almost 2 months prior DNA extraction. Plants were sampled with their own soil and placed in plastic plateau. Conditions in the greenhouse were not cont...,Illumina HiSeq 3000,,PAIRED,other,GENOMIC,genomic_DNA,Arabidopsis thaliana,ILLUMINA,2018-04-05T00:00:00Z,SAMPLE_Climares_Ath_SAUB-A_1491483763_sra_1,SRP103198,Climares_Ath_SAUB-A
SRR5421644,OTHER,300,6161427300,SAMN06691223,2824836700,LIPM-INRA-CNRS,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX2713261,"DNA was extracted by using a home-made protocol that use filter PALL plates. Briefly: 1- 400ul of DNA extraction buffer (Tris 1M ph 8.0 + EDTA 0.5M NaCL 2.5M, SDS 20%, PVP 40.000+ Sodium Bisulfite) was added in each sample and plates were incubated 20 ...",Plants were sampled directly from the field and moved on a greenhouse where they were maintained for almost 2 months prior DNA extraction. Plants were sampled with their own soil and placed in plastic plateau. Conditions in the greenhouse were not cont...,Illumina HiSeq 3000,,PAIRED,other,GENOMIC,genomic_DNA,Arabidopsis thaliana,ILLUMINA,2018-04-05T00:00:00Z,SAMPLE_Climares_Ath_CARL-A_1491483763_sra_1,SRP103198,Climares_Ath_CARL-A
SRR5421645,OTHER,300,6247836000,SAMN06691224,2867379143,LIPM-INRA-CNRS,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX2713260,"DNA was extracted by using a home-made protocol that use filter PALL plates. Briefly: 1- 400ul of DNA extraction buffer (Tris 1M ph 8.0 + EDTA 0.5M NaCL 2.5M, SDS 20%, PVP 40.000+ Sodium Bisulfite) was added in each sample and plates were incubated 20 ...",Plants were sampled directly from the field and moved on a greenhouse where they were maintained for almost 2 months prior DNA extraction. Plants were sampled with their own soil and placed in plastic plateau. Conditions in the greenhouse were not cont...,Illumina HiSeq 3000,,PAIRED,other,GENOMIC,genomic_DNA,Arabidopsis thaliana,ILLUMINA,2018-04-05T00:00:00Z,SAMPLE_Climares_Ath_MONB-A_1491483763_sra_1,SRP103198,Climares_Ath_MONB-A
SRR5421646,OTHER,300,6796728300,SAMN06691225,3253605825,LIPM-INRA-CNRS,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX2713259,"DNA was extracted by using a home-made protocol that use filter PALL plates. Briefly: 1- 400ul of DNA extraction buffer (Tris 1M ph 8.0 + EDTA 0.5M NaCL 2.5M, SDS 20%, PVP 40.000+ Sodium Bisulfite) was added in each sample and plates were incubated 20 ...",Plants were sampled directly from the field and moved on a greenhouse where they were maintained for almost 2 months prior DNA extraction. Plants were sampled with their own soil and placed in plastic plateau. Conditions in the greenhouse were not cont...,Illumina HiSeq 3000,,PAIRED,other,GENOMIC,genomic_DNA,Arabidopsis thaliana,ILLUMINA,2018-04-05T00:00:00Z,SAMPLE_Climares_Ath_LAGR-A_1491483764_sra_1,SRP103198,Climares_Ath_LAGR-A
SRR5421647,OTHER,300,7237439700,SAMN06691226,3562052486,LIPM-INRA-CNRS,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX2713258,"DNA was extracted by using a home-made protocol that use filter PALL plates. Briefly: 1- 400ul of DNA extraction buffer (Tris 1M ph 8.0 + EDTA 0.5M NaCL 2.5M, SDS 20%, PVP 40.000+ Sodium Bisulfite) was added in each sample and plates were incubated 20 ...",Plants were sampled directly from the field and moved on a greenhouse where they were maintained for almost 2 months prior DNA extraction. Plants were sampled with their own soil and placed in plastic plateau. Conditions in the greenhouse were not cont...,Illumina HiSeq 3000,,PAIRED,other,GENOMIC,genomic_DNA,Arabidopsis thaliana,ILLUMINA,2018-04-05T00:00:00Z,SAMPLE_Climares_Ath_FERR-A_1491483764_sra_1,SRP103198,Climares_Ath_FERR-A
