oa_id	ecotype_id	sample_name	latitude	longitude	locality	country	collector	collection_date	cs_number	sra_run	biosample	bioproject	library_layout	instrument_model	species	internal_data	internal_sample_name	elevation	ploidy	collection_notes	pooled_plants	include	country_code	country_name	dataset
OAKG0728	728	LI-SET-019	40.9352	-73.114	Setauket - SET	USA	Oliver Bossdorf	2006-04-01 0:00:00	CS78956	SRR1945461	SAMN03326305	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG0742	742	LI-SET-036	40.9352	-73.114	Setauket - SET	USA	Oliver Bossdorf	2006-04-01 0:00:00	CS78957	SRR1945462	SAMN03326306	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG0763	763	Kar-1	42.3	74.3667	Karakol	KGZ	Olivier Loudet	2004-07-03 0:00:00	CS76522	SRR1945463	SAMN03326307	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	KGZ	Kyrgyzstan	KG
OAKG0765	765	Sus-1	42.1833	73.4	Susamyr	KGZ	Olivier Loudet	2004-07-04 0:00:00	CS76607	SRR1945464	SAMN03326308	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	KGZ	Kyrgyzstan	KG
OAKG0766	766	Dja-1	42.5833	73.6333	Djarly	KGZ	Olivier Loudet	2004-07-07 0:00:00	CS76473	SRR1945465	SAMN03326309	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	KGZ	Kyrgyzstan	KG
OAKG0768	768	Zal-1	42.8	76.35	Zalisky	KGZ	Olivier Loudet	2004-07-18 0:00:00	CS76634	SRR1945466	SAMN03326310	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	KGZ	Kyrgyzstan	KG
OAKG0772	772	Neo-6	37.35	72.4667	Neo-Shahdara	TJK	Olivier Loudet	2004-07-25 0:00:00	CS76560	SRR1945467	SAMN03326311	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	TJK	Tajikistan	KG
OAKG0801	801	KYC-33	37.9169	-84.4639	KYC	USA	Kathleen Donohue	1999-05-04 0:00:00	CS76992	SRR1945468	SAMN03326312	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG0853	853	MIA-1	41.7976	-86.6691	MIA	USA	Kathleen Donohue	1999-05-21 0:00:00	CS78958	SRR1945469	SAMN03326313	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG0854	854	MIA-5	41.7976	-86.6691	MIA	USA	Kathleen Donohue	1999-05-21 0:00:00	CS78959	SRR1945470	SAMN03326314	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG0867	867	MIC-20	41.8266	-86.4366	MIC	USA	Kathleen Donohue	1999-05-21 0:00:00	CS78960	SRR1945471	SAMN03326315	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG0868	868	MIC-24	41.8266	-86.4366	MIC	USA	Kathleen Donohue	1999-05-21 0:00:00	CS78961	SRR1945472	SAMN03326316	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG0870	870	MIC-31	41.8266	-86.4366	MIC	USA	Kathleen Donohue	1999-05-21 0:00:00	CS77082	SRR1945473	SAMN03326317	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG0915	915	LIN S-5	41.8972	-71.4378	LIN S	USA	Kathleen Donohue	1999-01-01 0:00:00	CS77040	SRR1945474	SAMN03326318	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG0932	932	CHA-41	42.3634	-71.1445	CHA	USA	Kathleen Donohue	2002-06-13 0:00:00	CS76765	SRR1945475	SAMN03326319	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG0991	991	Ale-Stenar-41-1	55.3833	14.05	Ales Stenar	SWE	Jon Ågren	2001-01-01 0:00:00	CS76651	SRR1945476	SAMN03326320	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	SWE	Sweden	KG
OAKG0992	992	Ale-Stenar-44-4	55.3833	14.05	Ales Stenar	SWE	Jon Ågren	2001-01-01 0:00:00	CS76652	SRR1945477	SAMN03326321	PRJNA273563	PAIRED	Illumina Genome Analyzer IIx	Arabidopsis thaliana							Y	SWE	Sweden	KG
OAKG0997	997	Ale-Stenar-56-14	55.3833	14.05	Ales Stenar	SWE	Jon Ågren	2001-01-01 0:00:00	CS76653	SRR1945478	SAMN03326322	PRJNA273563	PAIRED	Illumina Genome Analyzer IIx	Arabidopsis thaliana							Y	SWE	Sweden	KG
OAKG1002	1002	Ale-Stenar-64-24	55.3833	14.05	Ales Stenar	SWE	Jon Ågren	2001-01-01 0:00:00	CS76654	SRR1945479	SAMN03326323	PRJNA273563	PAIRED	Illumina Genome Analyzer IIx	Arabidopsis thaliana							Y	SWE	Sweden	KG
OAKG1006	1006	Ale-Stenar-77-31	55.3833	14.05	Ales Stenar	SWE	Jon Ågren	2001-01-01 0:00:00	CS77636	SRR1945480	SAMN03326324	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	SWE	Sweden	KG
OAKG1061	1061	Brösarp-11-135	55.7167	14.1333	Brösarp	SWE	Jon Ågren	2001-01-01 0:00:00	CS76727	SRR1945481	SAMN03326325	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	SWE	Sweden	KG
OAKG1062	1062	Brösarp-15-138	55.7167	14.1333	Brösarp	SWE	Jon Ågren	2001-01-01 0:00:00	CS76728	SRR1945482	SAMN03326326	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	SWE	Sweden	KG
OAKG1063	1063	Brösarp-21-140	55.7167	14.1333	Brösarp	SWE	Jon Ågren	2001-01-01 0:00:00	CS76729	SRR1945483	SAMN03326327	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	SWE	Sweden	KG
OAKG1066	1066	Brösarp-34-145	55.7167	14.1333	Brösarp	SWE	Jon Ågren	2001-01-01 0:00:00	CS76730	SRR1945484	SAMN03326328	PRJNA273563	PAIRED	Illumina Genome Analyzer IIx	Arabidopsis thaliana							Y	SWE	Sweden	KG
OAKG1070	1070	Brösarp-45-153	55.7167	14.1333	Brösarp	SWE	Jon Ågren	2001-01-01 0:00:00	CS77643	SRR1945485	SAMN03326329	PRJNA273563	PAIRED	Illumina Genome Analyzer IIx	Arabidopsis thaliana							Y	SWE	Sweden	KG
OAKG1158	1158	Aledal-6-49	56.7	16.5167	Aledal	SWE	Jon Ågren	2003-01-01 0:00:00	CS76656	SRR1945486	SAMN03326330	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	SWE	Sweden	KG
OAKG1166	1166	Aledal-14-73	56.7	16.5167	Aledal	SWE	Jon Ågren	2003-01-01 0:00:00	CS77651	SRR1945487	SAMN03326331	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	SWE	Sweden	KG
OAKG1254	1254	Tos-82-387	59.4333	17.0167	Tos	SWE	Jon Ågren	2001-01-01 0:00:00	CS77379	SRR1945488	SAMN03326332	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	SWE	Sweden	KG
OAKG1257	1257	Tos-95-393	59.4333	17.0167	Tos	SWE	Jon Ågren	2001-01-01 0:00:00	CS77380	SRR1945489	SAMN03326333	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	SWE	Sweden	KG
OAKG1313	1313	Ängsö-59-422	59.5667	16.8667	Ängsö	SWE	Jon Ågren	2001-01-01 0:00:00	CS77658	SRR1945490	SAMN03326334	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	SWE	Sweden	KG
OAKG1317	1317	Ängsö-74-430	59.5667	16.8667	Ängsö	SWE	Jon Ågren	2001-01-01 0:00:00	CS76665	SRR1945491	SAMN03326335	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	SWE	Sweden	KG
OAKG1552	1552	Sku-30	63.0833	18.3667	Sku	SWE	Jon Ågren	2003-01-01 0:00:00	CS77251	SRR1945492	SAMN03326336	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	SWE	Sweden	KG
OAKG1612	1612	Brn-10	41.9	-86.583	Brn	USA	Diane Byers	2002-05-01 0:00:00	CS78962	SRR1945493	SAMN03326337	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG1622	1622	Brn-24	41.9	-86.583	Brn	USA	Diane Byers	2002-05-01 0:00:00	CS78963	SRR1945494	SAMN03326338	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG1651	1651	DuckLkSP38	43.3431	-86.4045	DuckLkSP	USA	Diane Byers	2004-06-04 0:00:00	CS78964	SRR1945495	SAMN03326339	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG1652	1652	DuckLkSP40	43.3431	-86.4045	DuckLkSP	USA	Diane Byers	2004-06-04 0:00:00	CS78965	SRR1945496	SAMN03326340	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG1676	1676	Haz-2	41.879	-86.607	Haz	USA	Diane Byers	2002-05-01 0:00:00	CS78966	SRR1945497	SAMN03326341	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG1684	1684	Haz-10	41.879	-86.607	Haz	USA	Diane Byers	2002-05-01 0:00:00	CS78967	SRR1945498	SAMN03326342	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG1739	1739	KBS-Mac-68	42.405	-85.398	KBS-Mackay	USA	Diane Byers	2004-05-29 0:00:00	CS78968	SRR1945499	SAMN03326343	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG1741	1741	KBS-Mac-74	42.405	-85.398	KBS-Mackay	USA	Diane Byers	2004-05-29 0:00:00	CS78969	SRR1945500	SAMN03326344	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG1756	1756	Ker-4	42.184	-86.358	Ker	USA	Diane Byers	2002-05-01 0:00:00	CS78970	SRR1945501	SAMN03326345	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG1757	1757	Ker-5	42.184	-86.358	Ker	USA	Diane Byers	2002-05-01 0:00:00	CS78971	SRR1945502	SAMN03326346	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG1793	1793	L-R-5	41.847	-86.67	L-R	USA	Diane Byers	2002-05-01 0:00:00	CS78972	SRR1945503	SAMN03326347	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG1797	1797	L-R-10	41.847	-86.67	L-R	USA	Diane Byers	2002-05-01 0:00:00	CS78973	SRR1945504	SAMN03326348	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG1819	1819	Lak-12	41.8	-86.67	Lak	USA	Diane Byers	2002-05-01 0:00:00	CS78974	SRR1945505	SAMN03326349	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG1820	1820	Lak-13	41.8	-86.67	Lak	USA	Diane Byers	2002-05-01 0:00:00	CS78975	SRR1945506	SAMN03326350	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG1829	1829	Mdn-1	42.051	-86.509	Mdn	USA	Diane Byers	2002-05-01 0:00:00	CS77077	SRR1945507	SAMN03326351	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG1834	1834	Mdn-8	42.051	-86.509	Mdn	USA	Diane Byers	2002-05-01 0:00:00	CS78976	SRR1945508	SAMN03326352	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG1835	1835	Mdn-10	42.051	-86.509	Mdn	USA	Diane Byers	2002-05-01 0:00:00	CS78977	SRR1945509	SAMN03326353	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG1851	1851	MNF-Pot-10	43.595	-86.2657	MNF-Potter	USA	Diane Byers	2004-06-05 0:00:00	CS78978	SRR1945510	SAMN03326354	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG1852	1852	MNF-Pot-15	43.595	-86.2657	MNF-Potter	USA	Diane Byers	2004-06-05 0:00:00	CS78979	SRR1945511	SAMN03326355	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG1853	1853	MNF-Pot-21	43.595	-86.2657	MNF-Potter	USA	Diane Byers	2004-06-05 0:00:00	CS77099	SRR1945512	SAMN03326356	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG1872	1872	MNF-Pot-75	43.595	-86.2657	MNF-Potter	USA	Diane Byers	2004-06-05 0:00:00	CS77100	SRR1945513	SAMN03326357	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG1890	1890	MNF-Riv-21	43.5139	-86.1859	MNF River	USA	Diane Byers	2004-06-05 0:00:00	CS77101	SRR1945514	SAMN03326358	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG1925	1925	MNF-Che-2	43.5251	-86.1843	MNF-Cherry	USA	Diane Byers	2004-06-05 0:00:00	CS77096	SRR1945515	SAMN03326359	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG1942	1942	MNF-Che-47	43.5251	-86.1843	MNF-Cherry	USA	Diane Byers	2004-06-05 0:00:00	CS78980	SRR1945516	SAMN03326360	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG1943	1943	MNF-Che-49	43.5251	-86.1843	MNF-Cherry	USA	Diane Byers	2004-06-05 0:00:00	CS78981	SRR1945517	SAMN03326361	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG1954	1954	MNF-Jac-12	43.5187	-86.1739	MNF-Jack	USA	Diane Byers	2004-06-05 0:00:00	CS77097	SRR1945518	SAMN03326362	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG2016	2016	MNF-Pin-39	43.5356	-86.1788	MNF-Pine	USA	Diane Byers	2004-06-05 0:00:00	CS77098	SRR1945519	SAMN03326363	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG2017	2017	MNF-Pin-40	43.5356	-86.1788	MNF-Pine	USA	Diane Byers	2004-06-05 0:00:00	CS78982	SRR1945520	SAMN03326364	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG2031	2031	Map-8	42.166	-86.412	Map	USA	Diane Byers	2002-05-01 0:00:00	CS78983	SRR1945521	SAMN03326365	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG2053	2053	Map-35	42.166	-86.412	Map	USA	Diane Byers	2002-05-01 0:00:00	CS78984	SRR1945522	SAMN03326366	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG2057	2057	Map-42	42.166	-86.412	Map	USA	Diane Byers	2002-05-01 0:00:00	CS77732	SRR1945523	SAMN03326367	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG2081	2081	MuskSP-68	43.2483	-86.3368	MuskSP	USA	Diane Byers	2004-06-04 0:00:00	CS78985	SRR1945524	SAMN03326368	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG2091	2091	MuskSP-83	43.2483	-86.3368	MuskSP	USA	Diane Byers	2004-06-04 0:00:00	CS78986	SRR1945525	SAMN03326369	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG2106	2106	MSGA-10	43.2749	-86.0891	MSGA	USA	Diane Byers	2004-06-04 0:00:00	CS78987	SRR1945526	SAMN03326370	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG2108	2108	MSGA-12	43.2749	-86.0891	MSGA	USA	Diane Byers	2004-06-04 0:00:00	CS78988	SRR1945527	SAMN03326371	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG2141	2141	MSGA-61	43.2749	-86.0891	MSGA	USA	Diane Byers	2004-06-04 0:00:00	CS78989	SRR1945528	SAMN03326372	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG2159	2159	Paw-13	42.148	-86.431	Paw	USA	Diane Byers	2002-05-01 0:00:00	CS78990	SRR1945529	SAMN03326373	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG2166	2166	Paw-20	42.148	-86.431	Paw	USA	Diane Byers	2002-05-01 0:00:00	CS78991	SRR1945530	SAMN03326374	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG2171	2171	Paw-26	42.148	-86.431	Paw	USA	Diane Byers	2002-05-01 0:00:00	CS77164	SRR1945531	SAMN03326375	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG2191	2191	Pent-7	43.7623	-86.3929	Pent	USA	Diane Byers	2004-06-04 0:00:00	CS78992	SRR1945532	SAMN03326376	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG2202	2202	Pent-23	43.7623	-86.3929	Pent	USA	Diane Byers	2004-06-04 0:00:00	CS77168	SRR1945533	SAMN03326377	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG2212	2212	Pent-46	43.7623	-86.3929	Pent	USA	Diane Byers	2004-06-04 0:00:00	CS78993	SRR1945534	SAMN03326378	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG2239	2239	Riv-25	42.184	-86.382	Riv	USA	Diane Byers	2002-05-01 0:00:00	CS78994	SRR1945535	SAMN03326379	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG2240	2240	Riv-26	42.184	-86.382	Riv	USA	Diane Byers	2002-05-01 0:00:00	CS78995	SRR1945536	SAMN03326380	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG2276	2276	SLSP-31	43.665	-86.496	SLSP	USA	Diane Byers	2004-06-04 0:00:00	CS77254	SRR1945537	SAMN03326381	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG2278	2278	SLSP-35	43.665	-86.496	SLSP	USA	Diane Byers	2004-06-04 0:00:00	CS77255	SRR1945538	SAMN03326382	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG2285	2285	SLSP-69	43.665	-86.496	SLSP	USA	Diane Byers	2004-06-04 0:00:00	CS78996	SRR1945539	SAMN03326383	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG2286	2286	SLSP-67	43.665	-86.496	SLSP	USA	Diane Byers	2004-06-04 0:00:00	CS78997	SRR1945540	SAMN03326384	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG2317	2317	Ste-40	42.03	-86.514	Ste	USA	Diane Byers	2002-05-01 0:00:00	CS77278	SRR1945541	SAMN03326385	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
